Gene.name	geneSymbol	Chromosome.scaffold.name	Gene.start..bp.	Gene.end..bp.	Strand	Gene.type	Gene.description	logCPM	adjP_gonad	adjP_brain	FB_MB	FB_O	FB_T	MB_O	MB_T	O_T
BZW1	ENSCJPG00005015109	7	9778983	9787959	1	protein_coding	basic leucine zipper and W2 domains 1 [Source:NCBI gene;Acc:107316525]	11.42118238	1.98e-09	1	1	0.001370252	0.107938923	0.000883905	0.132581497	7.12e-07
C1QB	ENSCJPG00005006836	21	5272870	5275425	-1	protein_coding	complement C1q B chain [Source:NCBI gene;Acc:107323571]	7.603029838	1.45e-15	1	0.813844922	5.53e-23	0.016043479	1.71e-18	7.21e-05	2.35e-32
C1QL2	ENSCJPG00005021024	7	18638790	18641598	-1	protein_coding	complement C1q like 2 [Source:NCBI gene;Acc:107316758]	5.828724618	0.000187948	1	1	3.76e-06	9.16e-07	5.25e-06	1.25e-06	0.750123343
CAB39	ENSCJPG00005005578	9	4184968	4203128	-1	protein_coding	calcium binding protein 39 [Source:NCBI gene;Acc:107317963]	11.10943893	6.2e-26	1	1	9.06e-05	0.741960065	9.6e-06	0.939939173	1.3e-05
CABP2	ENSCJPG00005013508	5	564950	567398	1	protein_coding	calcium binding protein 2 [Source:NCBI gene;Acc:107314151]	6.396565052	0.000357134	1	1	4.06e-06	0.009184459	8.61e-08	0.000886593	0.046982283
CABP4	ENSCJPG00005013138	5	190643	194591	1	protein_coding	calcium binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1386]	3.305777216	0.941853158	1	1	0.004391726	0.004322082	0.020744947	0.021431658	1
CADM3	ENSCJPG00005015173	25	2005357	2019055	1	protein_coding	cell adhesion molecule 3 [Source:NCBI gene;Acc:107324516]	7.679342114	0.028219159	1	0.958496978	2.42e-64	3.87e-49	3.56e-59	5.71e-44	0.00035105
CAMLG	ENSCJPG00005005143	13	2446254	2448830	1	protein_coding	calcium modulating ligand [Source:NCBI gene;Acc:107320166]	9.762569863	0.439695372	1	1	0.011129597	0.50555307	0.002511225	0.265981473	0.065547893
CAPSL	ENSCJPG00005006698	Z	10014911	10019751	-1	protein_coding	calcyphosine like [Source:NCBI gene;Acc:107305875]	2.531114024	0.053266315	1	0.94391526	0.089296075	6.76e-06	0.001560938	5.93e-09	0.00635452
CASP6	ENSCJPG00005006900	4	52193848	52200601	1	protein_coding	caspase 6 [Source:NCBI gene;Acc:107313602]	7.298496354	2.69e-06	1	0.841024144	3.1e-07	0.127049744	5.07e-11	0.87455512	1.6e-11
CASQ1	ENSCJPG00005013934	25	194286	198149	-1	protein_coding	calsequestrin 1 [Source:NCBI gene;Acc:107324325]	7.966004764	1.84e-28	1	1	4.65e-21	1.07e-05	1.09e-18	1.97e-07	2.86e-38
CASQ2	ENSCJPG00005017386	1	72046917	72070682	1	protein_coding	calsequestrin 2 [Source:NCBI gene;Acc:107319840]	9.594040749	1.59e-40	1	1.8e-06	6.36e-33	0.138746121	1.37e-07	4.77e-07	4.58e-28
CAV3	ENSCJPG00005020542	12	16603383	16606174	1	protein_coding	caveolin 3 [Source:NCBI gene;Acc:107320020]	2.902853191	0.158464392	1	1	0.000188814	8.12e-05	0.000357584	0.000158643	0.839816528
CBX4	ENSCJPG00005021189	18	4769525	4772852	-1	protein_coding	chromobox 4 [Source:NCBI gene;Acc:107322261]	9.067139288	4.94e-25	1	1	0.974970928	9.87e-12	0.797492569	4.52e-11	5.68e-12
CCKAR	ENSCJPG00005018351	4	66253615	66267682	1	protein_coding	cholecystokinin A receptor [Source:NCBI gene;Acc:107314074]	7.1765199	3.6e-15	1	1	1.74e-23	7.82e-11	1.19e-20	1.13e-08	9.61e-05
CCL21	ENSCJPG00005005891	Z	7739941	7741041	-1	protein_coding	C-C motif chemokine 21-like [Source:NCBI gene;Acc:107305824]	5.03498254	1.44e-06	1	1	1.11e-27	0.615721532	1.92e-29	0.681096357	2.55e-27
CCL5	ENSCJPG00005004281	19	280923	283028	-1	protein_coding	C-C motif chemokine 5-like [Source:NCBI gene;Acc:107322624]	2.625890633	0.439931881	1	1	0.327769326	0.497039407	0.687281144	0.95498024	0.745174215
CCNE1	ENSCJPG00005014393	11	7173597	7185684	1	protein_coding	cyclin E1 [Source:NCBI gene;Acc:107319346]	8.700151784	0.196555658	1	1	4.27e-09	0.006655747	1.44e-10	0.001128344	0.001547734
CCNH	ENSCJPG00005000482	Z	54307738	54316045	1	protein_coding	cyclin H [Source:NCBI gene;Acc:107306509]	10.00930577	1.7e-43	0.000722982	0.004689732	0.012902871	1.54e-08	1.89e-10	0.079901468	6e-16
CCNO	ENSCJPG00005001200	Z	18265192	18271308	-1	protein_coding	cyclin O [Source:HGNC Symbol;Acc:HGNC:18576]	12.07140481	3.74e-114	1	1	1.23e-109	1.01e-05	1.3e-113	8.6e-07	1.76e-91
CCR10	ENSCJPG00005005317	27	4604255	4611500	-1	protein_coding	C-C motif chemokine receptor 10 [Source:HGNC Symbol;Acc:HGNC:4474]	3.468587557	1.05e-05	1	0.838897202	0.342769896	0.017375353	0.746763802	0.213405436	0.116536676
CCR4	ENSCJPG00005004537	2	40740919	40741995	1	protein_coding	C-C motif chemokine receptor 4 [Source:NCBI gene;Acc:107309364]	3.018497949	0.123185646	1	1	0.439886121	0.379040544	0.363308643	0.320698713	0.973361786
CCR7	ENSCJPG00005004572	27	4137726	4143777	-1	protein_coding	C-C motif chemokine receptor 7 [Source:NCBI gene;Acc:107325288]	4.842914607	0.695400237	1	1	9.35e-14	2.82e-05	4.72e-14	5.78e-05	0.000702652
CD180	ENSCJPG00005008077	Z	13727296	13742233	1	protein_coding	CD180 molecule [Source:NCBI gene;Acc:107305908]	5.696172596	0.295214115	1	0.729584686	7.47e-15	8.59e-07	1.74e-11	0.000289619	0.002061545
CD28	ENSCJPG00005015378	7	11082513	11094607	1	protein_coding	CD28 molecule [Source:NCBI gene;Acc:107316578]	2.22744873	0.337744815	1	0.008394311	1.55e-06	2.3e-09	0.284208962	0.013561476	0.20180565
CD81	ENSCJPG00005018588	5	10913636	10943085	1	protein_coding	CD81 molecule [Source:NCBI gene;Acc:107314563]	11.09235474	1.33e-87	1	1	0.000888052	7.36e-21	0.000327863	4.72e-20	1.05e-33
