geneSymbol	Chromosome.scaffold.name	Gene.start..bp.	Gene.end..bp.	Strand	Gene.type	Gene.name	Gene.description	logFC	logCPM	LR	PValue	FDR
ENSCJPG00005000259	1	138243	142283	1	protein_coding		RAB, member of RAS oncogene family like 2B [Source:NCBI gene;Acc:107318741]	0.618937989102423	4.83964105149619	4.3269860940614	0.0375126126504675	0.0528619312118888
ENSCJPG00005000266	1	143796	145849	-1	protein_coding		acrosin-like [Source:NCBI gene;Acc:107318185]	11.6672473263726	7.82366323160472	852.402606272746	2.18391401874295e-187	3.4986302580262e-185
ENSCJPG00005000274	1	147842	153389	-1	protein_coding	ARSA	arylsulfatase A [Source:NCBI gene;Acc:107317603]	-1.1306208102367	3.9072896586831	16.7107985683323	4.35325038237337e-05	9.28307103169669e-05
ENSCJPG00005000277	1	154522	156005	-1	protein_coding		acrosin [Source:NCBI gene;Acc:107319775]	11.9462348464882	7.37338572741986	1052.23389615234	7.95764888116897e-231	2.28325137450138e-228
ENSCJPG00005000295	1	298878	421553	1	protein_coding			1.52176660064501	3.64666467715633	26.8486462030901	2.20028428548206e-07	5.89112327355254e-07
ENSCJPG00005000305	1	313422	316668	-1	protein_coding			2.12578684109295	-2.04681195033553	3.56805121707042	0.0589013979803489	0.0803235067584754
ENSCJPG00005000310	1	423409	457660	1	protein_coding			1.15937835157403	2.90237730252985	10.8091959797403	0.0010099715539688	0.00181505965724
ENSCJPG00005000311	1	468510	472293	-1	protein_coding			-0.854734709590637	2.7650206426816	6.76766182816072	0.00928243685839854	0.0145030531669257
ENSCJPG00005000316	1	472314	476054	-1	protein_coding			-0.686732444089567	3.97949464644541	5.23776677574796	0.0221016279490963	0.0323793397114333
ENSCJPG00005000318	1	503763	505805	-1	lncRNA			4.27627525125461	-1.42150405984776	14.5267955937598	0.000138180075224138	0.000277544014847857
ENSCJPG00005000323	1	518428	522065	1	protein_coding	GCC1	GRIP and coiled-coil domain containing 1 [Source:NCBI gene;Acc:107306301]	0.317845951618522	5.16841428470461	2.26818373933344	0.132054582663812	0.167598686018956
ENSCJPG00005000338	1	523932	549822	-1	protein_coding	DENND6B	DENN domain containing 6B [Source:NCBI gene;Acc:107307036]	2.4025176197467	6.77742385560923	51.354759256562	7.70948744027388e-13	3.15200311679764e-12
ENSCJPG00005000356	1	570574	622246	1	protein_coding	PPP6R2	protein phosphatase 6 regulatory subunit 2 [Source:NCBI gene;Acc:107307955]	0.879717492298413	6.65420052468691	22.5550093460353	2.04211344796333e-06	4.97435237248442e-06
ENSCJPG00005000380	1	631630	681094	-1	protein_coding	SBF1	SET binding factor 1 [Source:NCBI gene;Acc:107308148]	0.0581050982588715	7.27120067290011	0.102466330651755	0.748889777881653	0.784815584932234
ENSCJPG00005000440	1	683678	689618	1	protein_coding			-1.34876302203171	0.226173452286423	5.26401975572179	0.0217706799669569	0.0319188187679056
ENSCJPG00005000444	1	690839	693538	1	protein_coding	MIOX	myo-inositol oxygenase [Source:NCBI gene;Acc:107309062]	0.00441001030073689	-1.38905955395047	3.45858418970835e-05	0.9953076895925	0.996029680895162
ENSCJPG00005000449	1	694174	700303	-1	protein_coding	LMF2	lipase maturation factor 2 [Source:NCBI gene;Acc:107308717]	-1.06950282814778	6.37509388815601	28.0995639528343	1.1523181935506e-07	3.16459499325954e-07
ENSCJPG00005000460	1	701660	707919	1	protein_coding	NCAPH2	non-SMC condensin II complex subunit H2 [Source:HGNC Symbol;Acc:HGNC:25071]	-0.591506686227046	5.42318822270111	7.69449670209367	0.005538945330568	0.00896603949434483
ENSCJPG00005000464	1	708535	709278	-1	protein_coding	SCO2	protein SCO2 homolog, mitochondrial [Source:NCBI gene;Acc:107309199]	0.0916967121390932	2.46191754602737	0.0755132189690289	0.783472443847037	0.814838468974002
ENSCJPG00005000471	1	712535	718343	1	protein_coding	IRF5	interferon regulatory factor 5 [Source:NCBI gene;Acc:107309479]	1.07305753081774	3.62619876465972	5.33890720645087	0.0208545423680579	0.0306926751250609
ENSCJPG00005000477	1	720839	736871	-1	protein_coding	TNPO3	transportin 3 [Source:NCBI gene;Acc:107309307]	2.30684035222273	7.48461898828974	123.006972232424	1.38959724633342e-28	1.24888347188002e-27
ENSCJPG00005000486	1	748191	757014	1	protein_coding	SMO	smoothened, frizzled class receptor [Source:NCBI gene;Acc:107309414]	0.216584045863443	6.55146027239264	1.75443484364353	0.18532018070856	0.228488657897727
ENSCJPG00005000499	1	758140	793716	1	protein_coding	AHCYL2	adenosylhomocysteinase like 2 [Source:NCBI gene;Acc:107309655]	0.513995892982618	5.70895739406494	9.60928349263484	0.00193596164027172	0.00334173714398703
ENSCJPG00005000517	1	767425	771296	1	protein_coding			2.86043561642849	-0.467465088208931	13.6188784006795	0.000223922420098437	0.000437957534232612
ENSCJPG00005000519	1	796335	809275	1	protein_coding	STRIP2	striatin interacting protein 2 [Source:NCBI gene;Acc:107309953]	0.487492810142785	6.60249250123595	3.63141152034924	0.0566987099673486	0.0775604417935388
ENSCJPG00005000523	1	817599	817817	1	protein_coding	SMKR1	small lysine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:43561]	4.90800601810918	5.39861881531971	301.407546937405	1.62598544302018e-67	4.57656576231626e-66
ENSCJPG00005000527	1	838607	870222	1	protein_coding	NRF1	nuclear respiratory factor 1 [Source:NCBI gene;Acc:107310257]	0.283592733086908	3.87347623140777	1.22194307055596	0.268979660464105	0.317036480242916
ENSCJPG00005000542	1	887241	917379	-1	protein_coding	UBE2H	ubiquitin conjugating enzyme E2 H [Source:NCBI gene;Acc:107310504]	0.247859184224385	6.93569017937154	2.26403445339789	0.132408713607627	0.16798159508962
ENSCJPG00005000551	1	926300	934675	-1	protein_coding	ZC3HC1	zinc finger C3HC-type containing 1 [Source:NCBI gene;Acc:107310433]	-0.0485889826524072	4.75004377652705	0.046626958176212	0.829040158237304	0.855702979970681
ENSCJPG00005000554	1	935030	945694	1	protein_coding	KLHDC10	kelch domain containing 10 [Source:NCBI gene;Acc:107310867]	0.451577910177481	4.20035801859823	3.74475358656805	0.0529735375984352	0.0727818243848141
ENSCJPG00005000558	1	956643	965931	-1	protein_coding	TMEM209	transmembrane protein 209 [Source:NCBI gene;Acc:107310928]	0.418158002055204	6.89803353749147	3.78332259615399	0.0517657716204616	0.0712395442502508
ENSCJPG00005000563	1	970656	978213	1	protein_coding	CPA2	carboxypeptidase A2-like [Source:NCBI gene;Acc:107311052]	4.13879470035282	3.38183485121931	76.9865402969386	1.72127037649662e-18	9.88342345214189e-18
ENSCJPG00005000571	1	980633	984263	1	protein_coding		carboxypeptidase A1-like [Source:NCBI gene;Acc:107310992]	7.04411735054296	3.67959307312679	249.103201324139	4.07334556683362e-56	8.90853187449483e-55
ENSCJPG00005000583	1	985212	988202	1	protein_coding	CPA1	carboxypeptidase A1-like [Source:NCBI gene;Acc:107311154]	4.50217684559988	0.533054114679624	49.2007317941019	2.31064489351137e-12	9.15306767625441e-12
ENSCJPG00005000597	1	989703	996342	-1	protein_coding	CEP41	centrosomal protein 41 [Source:NCBI gene;Acc:107324602]	5.21890180039138	9.36928529109527	1064.71764128153	1.53963472157323e-233	5.01659964195319e-231
ENSCJPG00005000602	1	998769	1002110	1	protein_coding	MEST	mesoderm specific transcript [Source:NCBI gene;Acc:107311588]	0.833927018408279	2.90757169441766	7.40347131886817	0.00650981376643457	0.0104035796696266
ENSCJPG00005000679	1	999567	1018678	-1	protein_coding	COPG2	coatomer protein complex subunit gamma 2 [Source:NCBI gene;Acc:107311793]	1.53943441062859	8.1951738980344	82.2646763872104	1.19030482092286e-19	7.25044989778869e-19
ENSCJPG00005004000	1	1029223	1035619	1	protein_coding			0.564329186102811	3.40760485286971	3.34322043572987	0.0674824108841633	0.0912486366207466
ENSCJPG00005004003	1	1035645	1053239	-1	protein_coding	FBH1	F-box DNA helicase 1 [Source:NCBI gene;Acc:107311231]	0.230567058797615	6.23934360502156	1.6849246248988	0.194271368794536	0.238515314453069
ENSCJPG00005004014	1	1056821	1069944	1	protein_coding	ANKRD16	ankyrin repeat domain 16 [Source:NCBI gene;Acc:107311493]	0.80833098231972	3.69338893265945	9.15877566275595	0.00247528124520428	0.0042203819652157
ENSCJPG00005004015	1	1072962	1085059	1	protein_coding		GDP dissociation inhibitor 2 [Source:NCBI gene;Acc:107311926]	-2.48752554186084	8.38532535432165	266.836096597181	5.55242899658388e-60	1.33927095395644e-58
ENSCJPG00005004018	1	1087902	1114668	-1	protein_coding	TASOR2	transcription activation suppressor family member 2 [Source:NCBI gene;Acc:107311861]	-0.764796318087192	5.61271710767358	14.2369028321013	0.000161178583869229	0.000321254234971702
ENSCJPG00005004022	1	1120431	1126407	1	protein_coding	ASB13	ankyrin repeat and SOCS box containing 13 [Source:NCBI gene;Acc:107312085]	2.90175927505295	5.95848749240708	165.50738770665	7.08717662181324e-38	9.08898488177036e-37
ENSCJPG00005004026	1	1129990	1132110	-1	protein_coding			-1.62279919382801	-0.416659836023855	3.85017087645443	0.0497409228957253	0.0686249104167808
ENSCJPG00005004043	1	1136219	1145868	-1	protein_coding	NET1	neuroepithelial cell transforming 1 [Source:NCBI gene;Acc:107311988]	-1.24575940130079	7.05150935829221	64.8718984101694	7.99288621977935e-16	3.97349999195858e-15
ENSCJPG00005004051	1	1194406	1197900	1	protein_coding		tubulin alpha-8 chain-like [Source:NCBI gene;Acc:107312307]	-4.29740390074448	4.3618292093863	205.675965880604	1.20585001041591e-46	2.04962516359288e-45
ENSCJPG00005004065	1	1198101	1203021	-1	protein_coding		tubulin alpha-3 chain [Source:NCBI gene;Acc:107312375]	-5.46815487582038	6.04386146717067	497.29054142828	3.69400063333451e-110	2.04649764193725e-108
ENSCJPG00005004068	1	1208618	1209079	-1	protein_coding	UCN3	urocortin 3 [Source:NCBI gene;Acc:107312476]	1.11868420616476	-2.36520388317626	0.70568597356747	0.400879694966861	0.452472478630984
ENSCJPG00005004069	1	1266790	1269053	-1	lncRNA			-0.245324763816463	-1.62082945510195	0.0951303572289812	0.757753563279458	0.792506093274811
ENSCJPG00005004070	1	1270801	1274221	-1	lncRNA			-0.0645731355796518	-1.95023123420136	0.00498229909943992	0.943727728248907	0.953548925042415
ENSCJPG00005004071	1	1274721	1275682	-1	lncRNA			0.7807831253432	-2.29008858540212	0.512178542034915	0.474197299650558	0.524720479392294
ENSCJPG00005004073	1	1280155	1289839	-1	protein_coding			-0.511906747398192	-0.909494896689173	0.505376304434141	0.477147298130746	0.527438310578199
ENSCJPG00005004085	1	1321800	1332100	1	protein_coding	SLC35B4	solute carrier family 35 member B4 [Source:NCBI gene;Acc:107312714]	-1.30183273183885	6.07231548808501	49.8152796921374	1.68923317970501e-12	6.75271753933233e-12
ENSCJPG00005004087	1	1338384	1382920	-1	protein_coding	LRGUK	leucine rich repeats and guanylate kinase domain containing [Source:NCBI gene;Acc:107312603]	6.83179697126296	6.47658250347977	561.048080946339	4.97309258163443e-124	3.34275285976714e-122
ENSCJPG00005004097	1	1387776	1755624	-1	protein_coding	EXOC4	exocyst complex component 4 [Source:HGNC Symbol;Acc:HGNC:30389]	-0.595988876536507	5.9632763798196	9.18418322380426	0.00244115444657026	0.00416626003913943
ENSCJPG00005004098	1	1786172	1794914	-1	protein_coding			4.8550467478683	-2.12443166184055	12.3151039304791	0.000449307692046372	0.000846646841001712
ENSCJPG00005004101	1	1801579	2002922	1	protein_coding	CHCHD3	coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:NCBI gene;Acc:107313330]	-0.870881363372724	5.59165331562131	24.2516752578797	8.45335260189506e-07	2.1399427234505e-06
ENSCJPG00005004128	1	2075750	2442328	1	protein_coding	PLXNA4	plexin A4 [Source:NCBI gene;Acc:107313179]	2.38230272094461	4.72093937762708	60.106395111105	8.98658826984573e-15	4.19010848652715e-14
ENSCJPG00005004134	1	2518660	2521056	-1	protein_coding			9.20869139550245	1.28300883394371	100.818015502909	1.00835001629353e-23	7.42417491889193e-23
ENSCJPG00005004135	1	2643369	2655766	-1	lncRNA			1.71151170811868	-0.968582452424399	3.236748654067	0.0720033979704004	0.096903651081572
ENSCJPG00005004136	1	2732540	2736818	-1	lncRNA			1.60923445950841	-1.34578711281494	4.839483384432	0.0278152266557509	0.0401682630130825
ENSCJPG00005004151	1	2744743	2780356	1	protein_coding		podocalyxin like [Source:NCBI gene;Acc:107313928]	-4.98197659243374	7.55277551167581	402.988388264804	1.23141961838543e-89	5.03676824337054e-88
ENSCJPG00005004154	1	2790020	2883356	-1	protein_coding	MKLN1	muskelin 1 [Source:NCBI gene;Acc:107313806]	1.01240808139381	6.64897440065728	39.6064004241866	3.10663468116967e-10	1.05292568954171e-09
ENSCJPG00005004156	1	3045482	3065747	1	lncRNA			0.82203661076179	0.137060993553802	2.27480261654597	0.131491864824462	0.166972693664407
ENSCJPG00005004157	1	3049924	3050012	1	miRNA	MIR29A	microRNA 29a [Source:HGNC Symbol;Acc:HGNC:31616]	2.84474304837031	-2.72728814622838	3.14847090004381	0.0759981491492698	0.101071492165034
ENSCJPG00005004162	1	3081550	3085734	1	protein_coding		endonuclease domain-containing 1 protein-like [Source:NCBI gene;Acc:107314934]	-0.806077606788254	0.880340807890571	1.9163992501056	0.166254148810606	0.206825196190713
ENSCJPG00005004164	1	3091267	3103020	-1	protein_coding		interleukin-2 receptor subunit alpha-like [Source:NCBI gene;Acc:107315066]	1.08425595583686	0.299165545123593	2.28290056880297	0.13080703660366	0.166245833113101
ENSCJPG00005004165	1	3119618	3133122	1	protein_coding	RBM17	RNA binding motif protein 17 [Source:NCBI gene;Acc:107314772]	-0.503639707903437	6.27269513548557	7.54451158309871	0.00601931360105762	0.00968004723663473
ENSCJPG00005004174	1	3144462	3180502	1	protein_coding	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:NCBI gene;Acc:107314509]	1.32720101433586	7.31375364186749	65.4062094770921	6.09465573190361e-16	3.05034266571505e-15
ENSCJPG00005004179	1	3250336	3295310	-1	protein_coding	PRKCQ	protein kinase C theta [Source:NCBI gene;Acc:107315299]	-1.31329679377245	1.94257173324218	9.40423216369031	0.00216485159128376	0.0037188014467732
ENSCJPG00005004190	1	3297517	3328059	-1	lncRNA			1.11938271865235	-2.63145251502752	0.607245280342014	0.435826900034544	0.487339246525365
ENSCJPG00005004196	1	3465878	3551588	-1	protein_coding	SFMBT2	Scm like with four mbt domains 2 [Source:NCBI gene;Acc:107315417]	-0.268344586258597	4.08331754491312	1.3828014320795	0.239624537374096	0.285023023541617
ENSCJPG00005004202	1	3578709	3606175	1	protein_coding		store-operated calcium entry regulator STIMATE-like [Source:NCBI gene;Acc:107315547]	-7.12402828031383	5.80783798562746	448.431621994057	1.58284847256725e-99	7.47633391563461e-98
ENSCJPG00005004205	1	3609542	3650215	-1	protein_coding	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5 [Source:NCBI gene;Acc:107315475]	0.68588159031724	5.51752626871324	1.40682265375102	0.235584567704756	0.280703962412064
ENSCJPG00005004214	1	3656472	3677809	1	protein_coding	ITIH2	inter-alpha-trypsin inhibitor heavy chain 2 [Source:NCBI gene;Acc:107315650]	4.641757561102	3.15209672339993	101.953838388153	5.68307735372872e-24	4.2411288450342e-23
ENSCJPG00005004216	1	3678897	3691209	-1	protein_coding	KIN	Kin17 DNA and RNA binding protein [Source:NCBI gene;Acc:107315708]	-0.824540602768147	5.27239817984453	12.1331068967294	0.00049534526552281	0.000929140636649629
ENSCJPG00005004221	1	3691252	3696775	1	protein_coding	ATP5F1C	ATP synthase F1 subunit gamma [Source:NCBI gene;Acc:107315811]	1.01180743228779	7.99109437462083	37.2678388133926	1.02968775136382e-09	3.38371236448172e-09
ENSCJPG00005004223	1	3698185	3805253	1	protein_coding	TAF3	TATA-box binding protein associated factor 3 [Source:NCBI gene;Acc:107315873]	0.448282071248854	5.93038285720094	7.70396053102436	0.00550997939109883	0.0089251637861884
ENSCJPG00005004226	1	3836083	3855713	1	protein_coding	GATA3	GATA binding protein 3 [Source:NCBI gene;Acc:107315979]	-6.04948466304985	2.45451333428195	24.231099987432	8.54414061759079e-07	2.16178677589583e-06
ENSCJPG00005004229	1	3875829	3883271	-1	lncRNA			3.7654355699053	-2.52616368799933	5.97707329240787	0.0144930330600187	0.0219554032739007
ENSCJPG00005004230	1	3912346	3919459	1	lncRNA			6.40622472371365	-1.17184004063129	18.7317824509496	1.50453811426019e-05	3.36904376337074e-05
ENSCJPG00005004232	1	3928186	3945780	1	lncRNA			2.03020229266824	-2.44409690005438	2.30441428873402	0.129006901791135	0.164153341278315
ENSCJPG00005004233	1	3965022	3974203	-1	lncRNA			5.28825531732313	-1.91782598912503	15.7569624054197	7.20223826685845e-05	0.000149665796608028
ENSCJPG00005004235	1	4137842	4139797	-1	lncRNA			6.72647037595092	-0.991428954742056	17.2852040212885	3.21681928749412e-05	6.95849375298605e-05
ENSCJPG00005004236	1	4435414	4497154	-1	lncRNA			2.86483587699322	-2.7248668381295	3.17843574362332	0.0746161300260428	0.0997857727736102
ENSCJPG00005004237	1	4735135	4826440	1	lncRNA			1.08237979009867	-2.62132633222982	0.574210711861796	0.448590526378501	0.499834711589476
ENSCJPG00005004241	1	4835893	4844392	-1	lncRNA			5.68141577818706	-1.68949864398293	19.6640963620123	9.23197379399596e-06	2.11079286650545e-05
ENSCJPG00005004245	1	5081667	5333836	1	protein_coding	CELF2	CUGBP Elav-like family member 2 [Source:NCBI gene;Acc:107316324]	-2.91445708361211	3.61899690941249	51.1556459094103	8.53249188158749e-13	3.48182177736442e-12
ENSCJPG00005004251	1	5397637	5486494	-1	protein_coding	USP6NL	USP6 N-terminal like [Source:NCBI gene;Acc:107316856]	3.65379836283845	7.68840984398161	272.823173952375	2.75183517683473e-61	6.83479062525462e-60
ENSCJPG00005004257	1	5504667	5507652	1	protein_coding	ECHDC3	enoyl-CoA hydratase domain containing 3 [Source:NCBI gene;Acc:107317022]	-0.525485114054731	4.16874108561432	4.79381597082228	0.028562081728992	0.0411941975510647
ENSCJPG00005004259	1	5532966	5545563	1	protein_coding	PROSER2	proline and serine rich 2 [Source:NCBI gene;Acc:107317253]	-2.574897164714	5.97728719315305	88.7162568626237	4.55704765586738e-21	2.97975116110185e-20
ENSCJPG00005004260	1	5552280	5595779	-1	protein_coding	UPF2	UPF2 regulator of nonsense mediated mRNA decay [Source:NCBI gene;Acc:107317075]	1.02550087548495	7.96169537480743	43.0921774219378	5.22206298853463e-11	1.88311646767192e-10
ENSCJPG00005004273	1	5602111	5616894	1	protein_coding	DHTKD1	dehydrogenase E1 and transketolase domain containing 1 [Source:NCBI gene;Acc:107317305]	2.60324344803805	8.3668507400767	110.11687756023	9.23801793482358e-26	7.42129781776216e-25
ENSCJPG00005004471	1	5619770	5634325	1	protein_coding	SEC61A2	SEC61 translocon alpha 2 subunit [Source:NCBI gene;Acc:107317364]	0.397205048808728	5.72037770527675	4.52388082402972	0.033424930863606	0.0474670067904234
ENSCJPG00005004472	1	5635979	5646381	-1	protein_coding	NUDT5	nudix hydrolase 5 [Source:NCBI gene;Acc:107317497]	-0.514688731689475	4.21055417043173	2.83386070524506	0.0922962384471285	0.12054507017512
ENSCJPG00005004475	1	5646358	5677299	1	protein_coding	CDC123	cell division cycle 123 [Source:NCBI gene;Acc:107317448]	-0.29277564077357	5.10605873573452	1.56948016795232	0.210282521979567	0.253626115777267
ENSCJPG00005004517	1	5703786	5902218	1	protein_coding	CAMK1D	calcium/calmodulin dependent protein kinase ID [Source:NCBI gene;Acc:107317642]	1.46197595502016	5.09989367060662	20.791366502274	5.12133122288541e-06	1.20269327423344e-05
ENSCJPG00005004518	1	5912565	5913948	1	lncRNA			-1.60346774721702	-1.75918910239005	2.89512768368476	0.0888477355895943	0.116420753116649
ENSCJPG00005004519	1	5920607	5955219	-1	protein_coding	CCDC3	coiled-coil domain containing 3 [Source:NCBI gene;Acc:107317800]	-4.20664089038975	4.08745437151828	172.693489962114	1.90944776075132e-39	2.57775447701429e-38
ENSCJPG00005004520	1	5975483	5990272	1	protein_coding	OPTN	optineurin [Source:NCBI gene;Acc:107318043]	-2.45605383310128	7.10635610482319	221.706561147691	3.83835797875246e-50	7.24838838738088e-49
ENSCJPG00005004521	1	5993585	6005689	1	protein_coding	MCM10	minichromosome maintenance 10 replication initiation factor [Source:NCBI gene;Acc:107317863]	-0.560073876253025	6.01201902379999	10.4714079076152	0.00121236288774424	0.00215660813861342
ENSCJPG00005004524	1	6009256	6020334	-1	protein_coding	PHYH	phytanoyl-CoA 2-hydroxylase [Source:NCBI gene;Acc:107318471]	-1.43722517338793	5.9054682260858	71.8476344948712	2.32472042012881e-17	1.2560546755637e-16
ENSCJPG00005004635	1	6023236	6046061	-1	protein_coding	SEPHS1	selenophosphate synthetase 1 [Source:NCBI gene;Acc:107318277]	0.194677917666924	5.60231819509076	0.883477390766352	0.347251015787619	0.398255191952106
ENSCJPG00005004636	1	6057105	6100158	-1	protein_coding		BEN domain containing 7 [Source:NCBI gene;Acc:107318373]	1.93517246447413	6.68550184433276	156.83915553678	5.55004726788111e-36	6.63520576354144e-35
ENSCJPG00005004637	1	6110229	6126773	1	protein_coding		pre-mRNA processing factor 18 [Source:NCBI gene;Acc:107318877]	0.0491569747454488	6.1806028533654	0.0515143028190579	0.820448916702262	0.847882484393306
ENSCJPG00005004644	1	6129914	6314584	-1	protein_coding	FRMD4A	FERM domain containing 4A [Source:NCBI gene;Acc:107318558]	0.532522474937685	5.16318663995785	5.78940679549015	0.0161230287996855	0.0241358030221687
ENSCJPG00005004649	1	6408481	6410499	1	lncRNA			10.3186558454226	2.36993661272748	138.761383859308	4.96682411886581e-32	5.11969044831509e-31
ENSCJPG00005004650	1	6504063	6553243	-1	protein_coding	FAM107B	family with sequence similarity 107 member B [Source:NCBI gene;Acc:107319018]	-0.260433682674576	4.06383874911125	1.02098553680596	0.312285351077429	0.361474806666214
ENSCJPG00005004677	1	6577499	6598977	-1	protein_coding			6.17838918680874	-1.35942605133999	29.8050380262218	4.77748874126209e-08	1.36103206227064e-07
ENSCJPG00005004679	1	6614754	6622883	1	protein_coding		heat shock protein family A (Hsp70) member 14 [Source:NCBI gene;Acc:107319297]	-0.856168371606996	6.17822229006698	6.48189333326002	0.0108978839251673	0.0168463268396121
ENSCJPG00005004689	1	6624874	6630543	1	protein_coding	SUV39H2	suppressor of variegation 3-9 homolog 2 [Source:NCBI gene;Acc:107319605]	1.6790839704437	6.17743383351452	79.8590251891961	4.02099363085542e-19	2.38800066603536e-18
ENSCJPG00005004690	1	6634362	6642884	-1	protein_coding	DCLRE1C	DNA cross-link repair 1C [Source:NCBI gene;Acc:107319508]	2.05003228545803	4.77195081886682	58.8781212355063	1.67747119398273e-14	7.71107274823625e-14
ENSCJPG00005004691	1	6646356	6648203	1	protein_coding	MEIG1	meiosis/spermiogenesis associated 1 [Source:NCBI gene;Acc:107319726]	4.91210692383555	7.73157697669292	426.874166033147	7.78450936178413e-95	3.41665315002142e-93
ENSCJPG00005004692	1	6655635	6659980	1	protein_coding	TMEM243	transmembrane protein 243 [Source:NCBI gene;Acc:107319887]	1.84271736985543	2.80660041852602	30.8825912577713	2.74119720419689e-08	8.01349985606464e-08
ENSCJPG00005004693	1	6659139	6685026	-1	protein_coding	DMTF1	cyclin D binding myb like transcription factor 1 [Source:NCBI gene;Acc:107319357]	0.540678028093684	5.58283109061878	8.33973568673211	0.0038787240252188	0.00642078624479517
ENSCJPG00005004696	1	6672203	6672357	-1	misc_RNA			-0.931196919367951	-0.69424554580257	2.63265892444798	0.104686267795398	0.135375273247594
ENSCJPG00005004698	1	6694076	6696297	1	lncRNA			3.43383988472137	-1.10015950542606	17.0307698471036	3.6778955409674e-05	7.90340530735047e-05
ENSCJPG00005004699	1	6716203	6797679	1	protein_coding	KIAA1324L	KIAA1324 like [Source:NCBI gene;Acc:107320021]	-1.09065005545188	2.62830566126403	7.00842297032688	0.00811271106679495	0.0127814094040375
ENSCJPG00005004710	1	6805400	6871972	-1	protein_coding	GRM3	glutamate metabotropic receptor 3 [Source:NCBI gene;Acc:107320082]	3.93685992432622	1.73633754195203	33.2266644992931	8.20181130337625e-09	2.50949579016561e-08
ENSCJPG00005004715	1	7244768	7260818	1	lncRNA			5.024275662926	-2.04970736507516	13.9890531939901	0.000183878079612585	0.000363595165858088
ENSCJPG00005004721	1	7477874	7574243	1	protein_coding	SEMA3D	semaphorin 3D [Source:NCBI gene;Acc:107320216]	-3.28225648659645	5.05645256041104	57.968276720956	2.66379087208153e-14	1.20633017019777e-13
ENSCJPG00005004963	1	7730422	7737634	-1	lncRNA			4.49103806496584	-2.27670211601205	10.0199828235932	0.00154850912223985	0.00271066648751947
ENSCJPG00005004965	1	7778239	7794086	-1	lncRNA			6.57717448004818	-1.03616979328471	22.4971523118698	2.10455356235466e-06	5.1186662047958e-06
ENSCJPG00005004970	1	7853197	8091097	1	protein_coding	SEMA3A	semaphorin 3A [Source:NCBI gene;Acc:107320283]	-1.83977897936257	4.80123977453162	37.7958236776172	7.85497535938875e-10	2.60531480864198e-09
ENSCJPG00005004976	1	8375587	8385118	-1	lncRNA			7.59679137889317	-0.237757993634227	52.483634362403	4.3384868603774e-13	1.80643429508112e-12
ENSCJPG00005004978	1	8484316	8603965	1	protein_coding	SEMA3E	semaphorin 3E [Source:NCBI gene;Acc:107322482]	-3.91797170489986	2.71083488269921	81.2694022086752	1.96952445819849e-19	1.18578572453516e-18
