geneSymbol	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Gene type	logFC	logCPM	LR	PValue	FDR
ENSCJPG00005000806		1	81408598	81485913		protein_coding	0.576466378229457	-1.99878488513334	0.29004271492645	0.590193158849998	0.999984147965351
ENSCJPG00005000813	G protein-coupled receptor 12 [Source:NCBI gene;Acc:107308309]	1	157872356	157873354	GPR12	protein_coding	-0.0570678470396448	-1.48060204291119	0.00480195277935103	0.944753911049899	0.999984147965351
ENSCJPG00005000816	otogelin like [Source:NCBI gene;Acc:107311071]	1	36113348	36205707	OTOGL	protein_coding	-0.600835486353188	-0.787750430429785	0.631445265578523	0.426825676127495	0.999984147965351
ENSCJPG00005000820		1	81712431	81804294		protein_coding	-0.725078028089787	-0.470606829958532	0.856184877920835	0.354808533347987	0.999984147965351
ENSCJPG00005000825	ADP ribosylation factor like GTPase 6 [Source:NCBI gene;Acc:107321724]	1	81820795	81835239	ARL6	protein_coding	-0.443406533597639	4.70345497391075	0.857298865072011	0.354495690551606	0.999984147965351
ENSCJPG00005000831	WASP family member 3 [Source:NCBI gene;Acc:107308308]	1	157903349	157951974	WASF3	protein_coding	0.38865012348197	3.75099684299023	0.440669197934126	0.506799638765733	0.999984147965351
ENSCJPG00005000837	crystallin beta-gamma domain containing 3 [Source:NCBI gene;Acc:107321739]	1	81844822	81931540	CRYBG3	protein_coding	0.2529120909437	6.27424914791971	0.207357837199339	0.648846233210113	0.999984147965351
ENSCJPG00005000850	cyclin dependent kinase 8 [Source:NCBI gene;Acc:107308307]	1	157998803	158058058	CDK8	protein_coding	-0.308356140425192	5.83896284260539	0.662828288149207	0.415563223402762	0.999984147965351
ENSCJPG00005000859	ring finger protein 6 [Source:NCBI gene;Acc:107308306]	1	158059011	158067369	RNF6	protein_coding	-0.392019006084761	5.72198447560117	0.548204020611223	0.459052460254443	0.999984147965351
ENSCJPG00005000861	ribosomal oxygenase 2 [Source:NCBI gene;Acc:107321747]	1	81933450	81941479	RIOX2	protein_coding	0.23611409601968	4.29127537537227	0.301990914329789	0.582636980037093	0.999984147965351
ENSCJPG00005000869	gamma-aminobutyric acid type A receptor rho3 subunit [Source:NCBI gene;Acc:107321800]	1	81946565	81968456	GABRR3	protein_coding	0.0666323034016583	-0.437512772057341	0.00456724352360993	0.946118874574878	0.999984147965351
ENSCJPG00005000914	DDB1 and CUL4 associated factor 6 [Source:NCBI gene;Acc:107321756]	1	81998237	82062146	DCAF6	protein_coding	-0.186924192804572	6.92671300685821	0.186751300566296	0.665634349058151	0.999984147965351
ENSCJPG00005000937	mitochondrial pyruvate carrier 2 [Source:NCBI gene;Acc:107321793]	1	82063211	82069811	MPC2	protein_coding	0.465748169486032	7.00300271399697	0.771299212846031	0.379815430299651	0.999984147965351
ENSCJPG00005000945	ATPase phospholipid transporting 8A2 [Source:NCBI gene;Acc:107308305]	1	158076534	158352231	ATP8A2	protein_coding	-0.844705670601553	4.50617275170929	1.03953026616898	0.307930744730234	0.999984147965351
ENSCJPG00005001013	protein tyrosine phosphatase receptor type Q [Source:NCBI gene;Acc:107311090]	1	36212389	36334212	PTPRQ	protein_coding	-0.909320120490061	4.55632860101848	1.69990949936474	0.192299813045374	0.999984147965351
ENSCJPG00005001102	myelin protein zero like 1 [Source:NCBI gene;Acc:107321784]	1	82074248	82104893	MPZL1	protein_coding	-0.0466167134046078	5.94255223867942	0.0124803185462383	0.911049111101964	0.999984147965351
ENSCJPG00005001103	myogenic factor 6 [Source:NCBI gene;Acc:107311108]	1	36351541	36352579	MYF6	protein_coding	-0.509677899260877	-0.429480255958622	0.293836058585022	0.587772715738785	0.999984147965351
ENSCJPG00005001107	myogenic factor 5 [Source:NCBI gene;Acc:107311104]	1	36355793	36357000	MYF5	protein_coding	1.37393304529099	3.11062260209559	0.910362021697459	0.340018381960247	0.999984147965351
ENSCJPG00005001108	RCSD domain containing 1 [Source:NCBI gene;Acc:107321808]	1	82108617	82135640	RCSD1	protein_coding	0.497135678467131	5.49629891591067	1.07457794571513	0.299913680992474	0.999984147965351
ENSCJPG00005001112	lin-7 homolog A, crumbs cell polarity complex component [Source:NCBI gene;Acc:107311113]	1	36378896	36421184	LIN7A	protein_coding	0.247876503493287	3.00113126704507	0.149772969084808	0.69875241162015	0.999984147965351
ENSCJPG00005001115	cellular repressor of E1A stimulated genes 1 [Source:NCBI gene;Acc:107321820]	1	82143674	82146537	CREG1	protein_coding	0.171046547880349	4.53855490874706	0.102503310599289	0.748845996215032	0.999984147965351
ENSCJPG00005001117	CD247 molecule [Source:HGNC Symbol;Acc:HGNC:1677]	1	82155353	82199430	CD247	protein_coding	0.633917452857878	2.69339159449247	0.31592994192539	0.574063928995978	0.999984147965351
ENSCJPG00005001121	shisa family member 2 [Source:NCBI gene;Acc:107308304]	1	158360721	158364287	SHISA2	protein_coding	0.558187449138329	8.77813222445757	0.312981959476929	0.575856074597097	0.999984147965351
ENSCJPG00005001132	nucleoporin 58 [Source:NCBI gene;Acc:107308303]	1	158365183	158399284	NUP58	protein_coding	-0.0773441580792305	6.45163552213289	0.0393432782432797	0.842770138380555	0.999984147965351
ENSCJPG00005001150	acyl-CoA synthetase short chain family member 3 [Source:NCBI gene;Acc:107311123]	1	36462338	36542646	ACSS3	protein_coding	0.388409966365454	5.264672708838	0.324869673891264	0.568695741318554	0.999984147965351
ENSCJPG00005001162	myotubularin related protein 6 [Source:NCBI gene;Acc:107308302]	1	158401341	158421696	MTMR6	protein_coding	-0.354021502827946	5.96093935400022	0.729258223338462	0.393123732879187	0.999984147965351
ENSCJPG00005001170	REV1 DNA directed polymerase [Source:NCBI gene;Acc:107307082]	1	119466928	119503721	REV1	protein_coding	-0.331928440419627	5.11914475393906	0.397022140237851	0.528631168665951	0.999984147965351
ENSCJPG00005001172	POU class 2 homeobox 1 [Source:NCBI gene;Acc:107321831]	1	82214881	82264259	POU2F1	protein_coding	-0.49784492149859	4.5225614332999	0.745636536612377	0.387861255322472	0.999984147965351
ENSCJPG00005001175	APC membrane recruitment protein 2 [Source:NCBI gene;Acc:107308301]	1	158447616	158449484	AMER2	protein_coding	1.18582973749866	3.94100170310878	2.42913891929248	0.119098304062107	0.999984147965351
ENSCJPG00005001193	spermatogenesis associated 13 [Source:NCBI gene;Acc:107308300]	1	158495848	158647860	SPATA13	protein_coding	-0.834141250271766	5.73105634814813	2.24444453991018	0.134095052944141	0.999984147965351
ENSCJPG00005001209		1	158653124	158664725		protein_coding	-4.20556394691468	-3.63373397546546	5.88371367481221	0.0152815569995539	0.999984147965351
ENSCJPG00005001212	AF4/FMR2 family member 3 [Source:NCBI gene;Acc:107307070]	1	119538796	119845714	AFF3	protein_coding	-0.141832582587868	5.0238494847368	0.0695608736281699	0.791977223387189	0.999984147965351
ENSCJPG00005001215	mitochondrial intermediate peptidase [Source:NCBI gene;Acc:107308297]	1	158661535	158723595	MIPEP	protein_coding	0.00112674889745903	6.16160437452672	9.17858135096594e-06	0.997582718780796	0.999984147965351
ENSCJPG00005001222	TNF receptor superfamily member 19 [Source:NCBI gene;Acc:107308296]	1	158739404	158775795	TNFRSF19	protein_coding	0.0230117656891361	5.13093288163212	0.00177395273896508	0.966404377212057	0.999984147965351
ENSCJPG00005001226		1	158838754	158840843		lncRNA	2.54322108511265	-4.04559676878912	2.12280666078232	0.145120391003397	0.999984147965351
ENSCJPG00005001232	sacsin molecular chaperone [Source:HGNC Symbol;Acc:HGNC:10519]	1	158848994	158882875	SACS	protein_coding	0.315832084954145	6.7473973547398	0.222834480214871	0.636888622096794	0.999984147965351
ENSCJPG00005001241	sarcoglycan gamma [Source:NCBI gene;Acc:107308311]	1	158889530	158990178	SGCG	protein_coding	-0.548661487188685	4.78295653418982	0.87419175215112	0.349797462352867	0.999984147965351
ENSCJPG00005001247	LON peptidase N-terminal domain and ring finger 2 [Source:NCBI gene;Acc:107307059]	1	119902269	119933941	LONRF2	protein_coding	-0.233806666042061	5.7131676195619	0.294900411066379	0.587097210007148	0.999984147965351
ENSCJPG00005001255	carbohydrate sulfotransferase 10 [Source:NCBI gene;Acc:107307048]	1	119962197	119971186	CHST10	protein_coding	-0.281170727943174	5.35923038019187	0.529741477657247	0.466715567911688	0.999984147965351
ENSCJPG00005001256		1	159161965	159162933		lncRNA	1.21811512659815	-3.79021069321394	0.557115068055764	0.45542496647003	0.999984147965351
ENSCJPG00005001257		1	159372997	159377233		lncRNA	-1.70215841317666	-3.25460738623386	1.04951813775948	0.305618090154672	0.999984147965351
ENSCJPG00005001260	neuromedin S [Source:HGNC Symbol;Acc:HGNC:32203]	1	119982895	119987783	NMS	protein_coding	3.4581449828991	-1.60675818082459	4.90853676162724	0.0267242710313129	0.999984147965351
ENSCJPG00005001264		1	119992047	119997024		protein_coding	-4.41754142128731	-3.59593768062725	5.25217109253241	0.021919405392447	0.999984147965351
ENSCJPG00005001267		1	120000659	120003667		protein_coding	-0.78438029432734	-2.32973557840745	0.210967358760173	0.646010252479187	0.999984147965351
ENSCJPG00005001272	phosducin like 3 [Source:NCBI gene;Acc:107307020]	1	120003712	120007491	PDCL3	protein_coding	0.114254132943987	6.42469145329859	0.0800603953737067	0.777215581559361	0.999984147965351
ENSCJPG00005001277		1	120027276	120055018		lncRNA	-2.06458662539758	-4.10858092395507	1.34221625281924	0.246643505441851	0.999984147965351
ENSCJPG00005001278		1	120076476	120078720		lncRNA	-3.91679672093622	-3.73423147510549	4.61711109441439	0.0316545083168334	0.999984147965351
ENSCJPG00005001281		1	159436115	159504472		lncRNA	-1.18569418598799	-3.29225336275237	0.605819894719351	0.436366048789385	0.999984147965351
ENSCJPG00005001283		1	120086056	120095971		lncRNA	1.99875650933171	-4.11772692453371	1.32499260285074	0.249697996364002	0.999984147965351
ENSCJPG00005001284	fibroblast growth factor 9 [Source:NCBI gene;Acc:107308312]	1	159544352	159574000	FGF9	protein_coding	-0.806129007650615	2.12637848378871	1.88797591833476	0.169430394736974	0.999984147965351
ENSCJPG00005001285		1	159579041	159580057		lncRNA	1.99875650933171	-4.11772692453371	1.32499260285074	0.249697996364002	0.999984147965351
ENSCJPG00005001288	neuronal PAS domain protein 2 [Source:NCBI gene;Acc:107306962]	1	120101595	120190756	NPAS2	protein_coding	-0.585419544090776	5.37289540803484	1.0552781458081	0.304294606418357	0.999984147965351
ENSCJPG00005001289	mitochondrial calcium uptake 2 [Source:NCBI gene;Acc:107308314]	1	159595633	159714823	MICU2	protein_coding	-0.603583118101778	4.92039285405922	1.46263038984856	0.226512061544571	0.999984147965351
ENSCJPG00005001293	ribosomal protein L31 [Source:NCBI gene;Acc:107306954]	1	120194630	120199094		protein_coding	0.0265278173184731	8.58337276405538	0.00133807056101887	0.970820172157527	0.999984147965351
ENSCJPG00005001295	zinc finger DHHC-type containing 20 [Source:NCBI gene;Acc:107308317]	1	159722855	159763571	ZDHHC20	protein_coding	-0.314693408550269	5.89674612369194	0.598118157672154	0.43929693628637	0.999984147965351
ENSCJPG00005001297	TBC1 domain family member 8 [Source:NCBI gene;Acc:107306939]	1	120199559	120243915	TBC1D8	protein_coding	0.372433708749682	5.47352365549573	0.482641525173058	0.487228244339954	0.999984147965351
ENSCJPG00005001306	CCR4-NOT transcription complex subunit 11 [Source:NCBI gene;Acc:107306917]	1	120255068	120261467	CNOT11	protein_coding	0.439762236811695	6.93393982367686	0.948371819485175	0.330134083182557	0.999984147965351
ENSCJPG00005001312	small nucleolar RNA, C/D box 89 [Source:HGNC Symbol;Acc:HGNC:32750]	1	120265789	120265902	SNORD89	snoRNA	-0.65125736307163	-0.540288357638126	0.332025535330969	0.564468806678109	0.999984147965351
ENSCJPG00005001315	ring finger protein 149 [Source:NCBI gene;Acc:107306927]	1	120268114	120284134	RNF149	protein_coding	-0.137316237386794	5.1164727399556	0.113593045676506	0.736090007652877	0.999984147965351
ENSCJPG00005001319	cellular repressor of E1A stimulated genes 2 [Source:NCBI gene;Acc:107306908]	1	120288404	120304655	CREG2	protein_coding	-0.0839990611441114	-0.565676912185553	0.00506679509915564	0.943253365542468	0.999984147965351
ENSCJPG00005001321	mitochondrial ribosomal protein L57 [Source:NCBI gene;Acc:107308319]	1	159769784	159770095	MRPL57	protein_coding	0.51453426156182	5.94714282553057	0.99606141833641	0.318265409802484	0.999984147965351
ENSCJPG00005001324	spindle and kinetochore associated complex subunit 3 [Source:NCBI gene;Acc:107308316]	1	159770554	159778895	SKA3	protein_coding	0.0807546229064462	5.46145067530387	0.0326208997590456	0.856671690203177	0.999984147965351
ENSCJPG00005001327	RFX family member 8, lacking RFX DNA binding domain [Source:NCBI gene;Acc:107307877]	1	120313348	120333265	RFX8	protein_coding	-2.74601333170896	-4.01443444416082	2.30207641457578	0.12920117717756	0.999984147965351
ENSCJPG00005001329	Sin3A associated protein 18 [Source:NCBI gene;Acc:107308318]	1	159783089	159786216	SAP18	protein_coding	0.222416355111087	7.95421821615203	0.285270526444739	0.593267352209324	0.999984147965351
