Gene stable ID	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type
ENSGALG00000034000		uncharacterized LOC101747620 [Source:NCBI gene;Acc:101747620]	6	30225591	30229444	-1	lncRNA
ENSGALG00000049806			6	30192760	30197507	-1	lncRNA
ENSGALG00000035332			6	30163885	30166316	1	lncRNA
ENSGALG00000051966			6	30048734	30052909	-1	lncRNA
ENSGALG00000050290			6	30040688	30047048	-1	lncRNA
ENSGALG00000050437			6	29888975	29898733	-1	lncRNA
ENSGALG00000051571			6	29516943	29523041	1	lncRNA
ENSGALG00000048690			6	29508831	29535379	-1	lncRNA
ENSGALG00000053759			6	29057448	29075752	1	lncRNA
ENSGALG00000050778			1	181186765	181189206	1	lncRNA
ENSGALG00000034421	SENP1	SUMO specific peptidase 1 [Source:NCBI gene;Acc:426185]	33	7267803	7281369	1	protein_coding
ENSGALG00000036738	IGSF3	immunoglobulin superfamily member 3 [Source:NCBI gene;Acc:418451]	1	93596025	93648691	1	protein_coding
ENSGALG00000052160			1	181146434	181217925	-1	lncRNA
ENSGALG00000047186			3	74855997	74867290	-1	lncRNA
ENSGALG00000050423			1	180889081	180900781	1	lncRNA
ENSGALG00000047541			3	74714279	74715797	1	lncRNA
ENSGALG00000053138			1	180829200	180833278	1	lncRNA
ENSGALG00000034587			3	74612334	74832219	1	lncRNA
ENSGALG00000049387			3	74439915	74443893	1	lncRNA
ENSGALG00000038763			1	180756469	180805958	-1	lncRNA
ENSGALG00000048970			3	74349100	74358440	1	lncRNA
ENSGALG00000050236			3	73852131	73858707	-1	lncRNA
ENSGALG00000053022			1	180720876	180736131	1	lncRNA
ENSGALG00000046901			3	73302771	73359956	-1	lncRNA
ENSGALG00000047803			1	180687098	180695294	1	lncRNA
ENSGALG00000050247			1	180037879	180042257	1	lncRNA
ENSGALG00000053011			3	71085196	71090554	1	lncRNA
ENSGALG00000050032			3	70594485	70607265	-1	lncRNA
ENSGALG00000048793			3	70519894	70525123	1	lncRNA
ENSGALG00000051108			3	69717062	69731420	1	lncRNA
ENSGALG00000052817			3	69303469	69317392	1	lncRNA
ENSGALG00000048835			8	9277285	9280252	1	lncRNA
ENSGALG00000050227			8	9249668	9274974	-1	lncRNA
ENSGALG00000054728			8	9109873	9116475	1	lncRNA
ENSGALG00000047655			8	9084691	9103849	1	lncRNA
ENSGALG00000052085			8	8607305	8616046	-1	lncRNA
ENSGALG00000049277			8	8579941	8587979	-1	lncRNA
ENSGALG00000042128			17	6727970	6736633	1	lncRNA
ENSGALG00000054409			17	6631552	6634561	-1	lncRNA
ENSGALG00000050839			17	5896716	5899578	1	lncRNA
ENSGALG00000035624			17	5861537	5872810	1	lncRNA
ENSGALG00000028471	CNPY3	canopy FGF signaling regulator 3 [Source:NCBI gene;Acc:100858990]	3	16131319	16133848	1	protein_coding
ENSGALG00000020921		chromosome 10 open reading frame, human C15orf58 [Source:NCBI gene;Acc:431480]	10	20487869	20499372	1	protein_coding
ENSGALG00000039356	HEPACAM	hepatic and glial cell adhesion molecule [Source:NCBI gene;Acc:428234]	24	269631	274676	1	protein_coding
ENSGALG00000052483			17	6843668	6852484	-1	lncRNA
ENSGALG00000046322		proline rich transmembrane protein 1B [Source:NCBI gene;Acc:100857402]	17	6537268	6539119	1	lncRNA
ENSGALG00000053940			17	6432536	6438184	1	lncRNA
ENSGALG00000035908			17	6353166	6355461	1	lncRNA
ENSGALG00000030592			17	5907392	5937106	1	lncRNA
ENSGALG00000051963			17	5566180	5575398	1	lncRNA
ENSGALG00000049630			1	121252306	121257670	1	lncRNA
ENSGALG00000055062			1	121049580	121064074	-1	lncRNA
ENSGALG00000049135			1	120925203	120944864	1	lncRNA
ENSGALG00000046919			1	120850530	120861663	1	lncRNA
ENSGALG00000001103	PSMB7	proteasome subunit beta 7 [Source:NCBI gene;Acc:378915]	17	9673564	9693756	-1	protein_coding
ENSGALG00000041746	ZMAT2	zinc finger matrin-type 2 [Source:NCBI gene;Acc:427602]	13	1560388	1571326	-1	protein_coding
ENSGALG00000048542		ubiquitin-conjugating enzyme E2 R2-like [Source:NCBI gene;Acc:427134]	W	67958	141475	-1	protein_coding
ENSGALG00000054325			31	964534	966826	1	protein_coding
ENSGALG00000045045		GDP-D-glucose phosphorylase 1 [Source:NCBI gene;Acc:100858151]	10	20485987	20487718	1	protein_coding
ENSGALG00000050891			1	120179413	120196579	1	lncRNA
ENSGALG00000049338			1	120086887	120088704	-1	lncRNA
ENSGALG00000052409			1	120036596	120040677	1	lncRNA
ENSGALG00000036226			1	119902097	119930627	1	lncRNA
ENSGALG00000049410			1	119894013	119901128	1	lncRNA
ENSGALG00000052618			5	41642462	41895495	1	lncRNA
ENSGALG00000047714			5	43558105	43596979	1	lncRNA
ENSGALG00000048052			2	132961489	132996438	1	lncRNA
ENSGALG00000041794			5	43511006	43514994	-1	lncRNA
ENSGALG00000051762			2	132894803	132901102	-1	lncRNA
ENSGALG00000050003			2	132465797	132468904	-1	lncRNA
ENSGALG00000051067			2	132404552	132410118	1	lncRNA
ENSGALG00000054555			2	132369864	132391852	1	lncRNA
ENSGALG00000052841			2	132219873	132222528	1	lncRNA
ENSGALG00000050936			5	43019549	43029099	-1	lncRNA
ENSGALG00000040945			4	77332619	77354240	-1	lncRNA
ENSGALG00000050106			5	42991112	43002389	-1	lncRNA
ENSGALG00000054883			4	77297155	77319770	-1	lncRNA
ENSGALG00000049797			2	8278817	8298815	1	lncRNA
ENSGALG00000050867			5	42974274	42978250	1	lncRNA
ENSGALG00000048977			4	77167376	77193801	-1	lncRNA
ENSGALG00000054510			5	42957017	42973770	-1	lncRNA
ENSGALG00000052843			2	9801339	9810402	1	lncRNA
ENSGALG00000053524			2	9799762	9858013	-1	lncRNA
ENSGALG00000047430			4	77046669	77049173	1	lncRNA
ENSGALG00000052905			5	42792057	42934679	-1	lncRNA
ENSGALG00000038561			4	77044422	77139060	1	lncRNA
ENSGALG00000047842			4	76888441	76901092	1	lncRNA
ENSGALG00000047041			5	42689518	42692187	-1	lncRNA
ENSGALG00000051421			4	76804885	76827365	-1	lncRNA
ENSGALG00000036909	BEND5	ATP/GTP binding protein like 4 [Source:NCBI gene;Acc:772083]	8	23047528	23885562	-1	protein_coding
ENSGALG00000045608		family with sequence similarity 178, member B [Source:NCBI gene;Acc:425134]	22	3710877	3715597	1	protein_coding
ENSGALG00000048545			2	9791488	9799294	1	lncRNA
ENSGALG00000046945			5	42617357	42635043	-1	lncRNA
ENSGALG00000050321			2	9673091	9680501	1	lncRNA
ENSGALG00000050410			5	42551454	42564554	-1	lncRNA
ENSGALG00000049129			2	9584152	9588196	1	lncRNA
ENSGALG00000048112			4	76419744	76435379	1	lncRNA
ENSGALG00000055031			5	42505761	42516963	-1	lncRNA
ENSGALG00000032384			4	76352550	76363425	-1	lncRNA
ENSGALG00000051343			2	9204838	9208326	1	lncRNA
ENSGALG00000035807			5	42320487	42342961	-1	lncRNA
ENSGALG00000052184			2	8865945	8874629	-1	lncRNA
ENSGALG00000052764			4	75679677	75692984	-1	lncRNA
ENSGALG00000047307			4	75666966	75671449	-1	lncRNA
ENSGALG00000054693			2	8845961	8858768	1	lncRNA
ENSGALG00000049924			2	8827207	8831289	1	lncRNA
ENSGALG00000047093			4	75570374	75575364	-1	lncRNA
ENSGALG00000052613			2	8808621	8813288	-1	lncRNA
ENSGALG00000047674			2	8700614	8703763	-1	lncRNA
ENSGALG00000047183			2	8478056	8479589	-1	lncRNA
ENSGALG00000052722			2	8461973	8477169	-1	lncRNA
ENSGALG00000053646			2	8331477	8363752	-1	lncRNA
ENSGALG00000054309			2	7989967	7999870	-1	lncRNA
ENSGALG00000052323			KZ626836.1	314279	340628	1	lncRNA
ENSGALG00000051193			KZ626836.1	195976	215586	-1	lncRNA
ENSGALG00000052554			KZ626836.1	164640	196343	1	lncRNA
ENSGALG00000053959			KZ626836.1	80021	81692	1	lncRNA
ENSGALG00000048787			KZ626836.1	10282	18469	1	lncRNA
ENSGALG00000053796			11	14721110	14728025	1	lncRNA
ENSGALG00000051042			11	14719077	14728120	-1	lncRNA
ENSGALG00000003675	PRKAR1B	protein kinase cAMP-dependent type I regulatory subunit beta [Source:NCBI gene;Acc:416446]	14	2436022	2524536	-1	protein_coding
ENSGALG00000052450			31	963479	963643	1	protein_coding
ENSGALG00000027138	ETV3L	ETS variant transcription factor 3 like [Source:HGNC Symbol;Acc:HGNC:33834]	25	2538236	2543668	1	protein_coding
ENSGALG00000009504		NSE4 homolog A, SMC5-SMC6 complex component [Source:NCBI gene;Acc:423937]	6	32042789	32050896	-1	protein_coding
ENSGALG00000052314			11	16408525	16467182	-1	lncRNA
ENSGALG00000054587			AADN05001432.1	10334	24295	1	lncRNA
ENSGALG00000053008			11	15815185	15944572	-1	lncRNA
ENSGALG00000048881			11	15664848	15669126	1	lncRNA
ENSGALG00000051321			11	15662820	15664458	-1	lncRNA
ENSGALG00000048397			11	15515225	15527643	1	lncRNA
ENSGALG00000051775			11	15510944	15531845	-1	lncRNA
ENSGALG00000037682	CCSER2	coiled-coil serine rich protein 2 [Source:NCBI gene;Acc:423606]	6	1634831	1751717	1	protein_coding
ENSGALG00000001943	RHBDF2	rhomboid 5 homolog 2 [Source:NCBI gene;Acc:417358]	18	4361778	4372525	1	protein_coding
ENSGALG00000042606		protocadherin delta 1 [Source:NCBI gene;Acc:768760]	13	1548787	1552955	-1	protein_coding
ENSGALG00000034125		small nucleolar RNA SNORD121A [Source:NCBI gene;Acc:112530500]	W	11411	11493	1	snoRNA
ENSGALG00000044223			31	949730	950175	1	protein_coding
ENSGALG00000048871			11	15249045	15260810	-1	lncRNA
ENSGALG00000054385			11	15112971	15127646	-1	lncRNA
ENSGALG00000051381			11	14907359	14916544	1	lncRNA
ENSGALG00000054827			11	14780081	14880684	-1	lncRNA
ENSGALG00000053996			1	188531441	188534800	1	lncRNA
ENSGALG00000049507			11	14743596	14774926	-1	lncRNA
ENSGALG00000047259			1	188445674	188461563	1	lncRNA
ENSGALG00000050093			1	188346884	188351593	1	lncRNA
ENSGALG00000053097			18	1836647	1887466	-1	lncRNA
ENSGALG00000039312			18	1678958	1689569	-1	lncRNA
ENSGALG00000050531			AADN05001223.1	7444	14990	1	lncRNA
ENSGALG00000053387			AADN05001223.1	2083	7273	1	lncRNA
ENSGALG00000052118			AADN05001223.1	21	17993	-1	lncRNA
ENSGALG00000051816			18	681062	682955	-1	lncRNA
ENSGALG00000052727			18	80415	85973	1	lncRNA
ENSGALG00000050980			18	31718	38519	-1	lncRNA
ENSGALG00000016872	PCCA	propionyl-CoA carboxylase alpha subunit [Source:NCBI gene;Acc:418774]	1	145418480	145689429	-1	protein_coding
ENSGALG00000045228		pre T-cell antigen receptor alpha [Source:NCBI gene;Acc:100858958]	3	16130010	16131928	1	protein_coding
ENSGALG00000011428	AZI2	5-azacytidine induced 2 [Source:NCBI gene;Acc:420660]	2	38775654	38800952	-1	protein_coding
ENSGALG00000028762	ZFYVE26	zinc finger FYVE-type containing 26 [Source:NCBI gene;Acc:423276]	5	29110081	29151380	-1	protein_coding
ENSGALG00000000660	CYB5B	cytochrome b5 type B [Source:NCBI gene;Acc:415865]	11	18950606	18962787	1	protein_coding
ENSGALG00000008454	NOP58	NOP58 ribonucleoprotein [Source:NCBI gene;Acc:424087]	7	11777039	11801661	1	protein_coding
ENSGALG00000046083		protocadherin alpha-2-like [Source:NCBI gene;Acc:107054472]	13	1524915	1532585	-1	protein_coding
ENSGALG00000025458	gga-mir-1809	gga-mir-1809 [Source:miRBase;Acc:MI0007554]	8	23039992	23040099	-1	miRNA
ENSGALG00000045132		uncharacterized LOC101747443 [Source:NCBI gene;Acc:101747443]	31	941497	945753	1	protein_coding
ENSGALG00000029135	YEATS4	YEATS domain containing 4 [Source:NCBI gene;Acc:771226]	1	35544311	35549594	1	protein_coding
ENSGALG00000033417	SSPO	SCO-spondin [Source:NCBI gene;Acc:420367]	2	467007	502923	1	pseudogene
ENSGALG00000050542			18	29840	31481	-1	lncRNA
ENSGALG00000030852			28	1638657	1663714	-1	lncRNA
ENSGALG00000052159			28	1498724	1501560	-1	lncRNA
ENSGALG00000048751			28	1475897	1480449	1	lncRNA
ENSGALG00000024395			28	1022915	1024729	-1	lncRNA
ENSGALG00000048688			2	5977318	5978873	-1	lncRNA
ENSGALG00000051625			28	892611	894378	1	lncRNA
ENSGALG00000048196			2	5902024	5920128	1	lncRNA
ENSGALG00000050908			28	534868	553560	-1	lncRNA
ENSGALG00000052793			28	280102	296526	1	lncRNA
ENSGALG00000049302			2	5196555	5232092	-1	lncRNA
ENSGALG00000000669	ETV3	ETS variant 3 [Source:NCBI gene;Acc:426718]	25	2520992	2528858	1	protein_coding
ENSGALG00000025811		C-X9-C motif containing 1 [Source:NCBI gene;Acc:420659]	2	38726423	38770371	1	protein_coding
ENSGALG00000053340			2	4879190	4880617	-1	lncRNA
ENSGALG00000053567			28	268086	271357	1	lncRNA
ENSGALG00000049540			2	4866349	4873708	1	lncRNA
ENSGALG00000054892			28	132252	135356	-1	lncRNA
ENSGALG00000054328			2	4493597	4499235	-1	lncRNA
ENSGALG00000030849			28	114505	118382	-1	lncRNA
ENSGALG00000052847			2	4476205	4483000	1	lncRNA
ENSGALG00000049769			28	90646	96623	-1	lncRNA
ENSGALG00000048493			9	23760796	23762556	1	lncRNA
ENSGALG00000054934			28	50575	80716	-1	lncRNA
ENSGALG00000049955			2	4455425	4548459	-1	lncRNA
ENSGALG00000053418			2	4235554	4241903	-1	lncRNA
ENSGALG00000047331			28	35415	46098	-1	lncRNA
ENSGALG00000054290			28	21455	31724	-1	lncRNA
ENSGALG00000051450			28	15780	47675	-1	lncRNA
ENSGALG00000052785			Z	74595735	74636733	-1	lncRNA
ENSGALG00000047844			Z	73391719	73401460	-1	lncRNA
ENSGALG00000045887			Z	73376080	73425182	1	lncRNA
ENSGALG00000050854			1	115750462	115774697	1	lncRNA
ENSGALG00000050906			Z	72907934	72911951	-1	lncRNA
ENSGALG00000047512			Z	72869080	72870341	-1	lncRNA
ENSGALG00000050955			1	117442306	117459072	1	lncRNA
ENSGALG00000047042			1	117441496	117446925	1	lncRNA
ENSGALG00000031866		protein NDNF-like [Source:NCBI gene;Acc:423605]	6	1616246	1623255	-1	protein_coding
ENSGALG00000054734			1	117426042	117438827	-1	lncRNA
ENSGALG00000029789	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2 [Source:NCBI gene;Acc:424894]	9	12836912	12849716	1	protein_coding
ENSGALG00000032273	POLR1B	polymerase (RNA) I polypeptide B, 128kDa [Source:NCBI gene;Acc:101749883]	3	16112592	16128910	1	protein_coding
ENSGALG00000001892	CYGB	cytoglobin [Source:NCBI gene;Acc:427802]	18	4342538	4349605	1	protein_coding
ENSGALG00000040780	UBAP2	ubiquitin associated protein 2 [Source:NCBI gene;Acc:407091]	W	787	48077	1	protein_coding
ENSGALG00000009963	LYZ	lysozyme (renal amyloidosis) [Source:NCBI gene;Acc:396218]	1	35542896	35546583	1	protein_coding
ENSGALG00000052734			13	1509879	1512414	-1	pseudogene
ENSGALG00000053653	ZNF467	gastrula zinc finger protein XlCGF57.1-like [Source:NCBI gene;Acc:107052491]	2	462928	465096	-1	protein_coding
ENSGALG00000053116	LRRC61	leucine rich repeat containing 61 [Source:NCBI gene;Acc:428394]	2	459048	460783	-1	protein_coding
ENSGALG00000010502	SPATA6	spermatogenesis associated 6 [Source:NCBI gene;Acc:424626]	8	22977670	23027628	-1	protein_coding
ENSGALG00000008302	CIB4	calcium and integrin binding family member 4 [Source:NCBI gene;Acc:770162]	10	20483878	20486357	-1	protein_coding
ENSGALG00000052902			18	4318592	4318661	-1	snoRNA
ENSGALG00000044904	PCDHA4	protocadherin alpha 4 [Source:NCBI gene;Acc:497214]	13	1502095	1504640	-1	pseudogene
ENSGALG00000050791			1	117303044	117342131	-1	lncRNA
ENSGALG00000051100			1	117280098	117285971	1	lncRNA
ENSGALG00000054581			KZ626834.1	377080	385294	1	lncRNA
ENSGALG00000048023			1	115886252	115906399	1	lncRNA
ENSGALG00000050326			1	115838274	115865673	1	lncRNA
ENSGALG00000054276			KZ626834.1	275372	308931	1	lncRNA
ENSGALG00000053984			1	115817431	115818998	1	lncRNA
ENSGALG00000050230			1	1796559	1824670	-1	lncRNA
ENSGALG00000049698			1	115814798	115902092	1	lncRNA
ENSGALG00000053060			1	1740665	1744629	1	lncRNA
ENSGALG00000030129			KZ626834.1	260462	263848	-1	lncRNA
ENSGALG00000008153		interleukin 15 receptor, alpha [Source:NCBI gene;Acc:416686]	1	1649616	1654200	1	lncRNA
ENSGALG00000050624			KZ626834.1	219301	225463	1	lncRNA
ENSGALG00000048922			KZ626834.1	37203	86536	-1	lncRNA
ENSGALG00000054443		uncharacterized LOC101751423 [Source:NCBI gene;Acc:101751423]	KZ626834.1	413370	583886	1	lncRNA
ENSGALG00000051854			1	1334129	1336026	1	lncRNA
ENSGALG00000049264			1	1077724	1080772	1	lncRNA
ENSGALG00000053590			1	1035706	1038036	-1	lncRNA
ENSGALG00000049687			1	1021865	1023345	-1	lncRNA
ENSGALG00000048878			1	1021093	1024340	1	lncRNA
ENSGALG00000027247	EOMES	eomesodermin [Source:NCBI gene;Acc:428443]	2	38541856	38546582	-1	protein_coding
ENSGALG00000052303			30	1803240	1805564	-1	protein_coding
ENSGALG00000047788			18	4317051	4317126	-1	snoRNA
ENSGALG00000049223			1	1019477	1021544	-1	lncRNA
ENSGALG00000054974		phospholemman-like [Source:NCBI gene;Acc:112530976]	30	1797373	1808363	1	protein_coding
ENSGALG00000050519			1	1017506	1019124	1	lncRNA
ENSGALG00000010494	SLC5A9	solute carrier family 5 member 9 [Source:NCBI gene;Acc:424625]	8	22961544	22982526	1	protein_coding
ENSGALG00000000657	TERF2	telomeric repeat binding factor 2 [Source:NCBI gene;Acc:395598]	11	18938562	18946393	-1	protein_coding
ENSGALG00000031298		small nuclear ribonucleoprotein U5 subunit 200 [Source:HGNC Symbol;Acc:HGNC:30859]	22	3701007	3708828	-1	protein_coding
ENSGALG00000045614			13	1472512	1484929	-1	protein_coding
ENSGALG00000009538		retinol dehydrogenase 11 (all-trans/9-cis/11-cis) [Source:NCBI gene;Acc:423274]	5	29100045	29107183	1	protein_coding
ENSGALG00000055138			2	1693813	1716490	-1	lncRNA
ENSGALG00000054903			1	1014292	1016273	1	lncRNA
ENSGALG00000051114			1	1009593	1014073	-1	lncRNA
ENSGALG00000000511	KCTD20	potassium channel tetramerization domain containing 20 [Source:NCBI gene;Acc:419814]	26	1544510	1563320	1	protein_coding
ENSGALG00000022758	GGACT	gamma-glutamylamine cyclotransferase [Source:NCBI gene;Acc:418773]	1	145387493	145417076	1	protein_coding
ENSGALG00000048637			13	1454654	1458265	1	protein_coding
ENSGALG00000044521		zinc finger protein 555 [Source:NCBI gene;Acc:426408]	31	934181	938763	-1	protein_coding
ENSGALG00000054618			2	1264262	1274369	1	lncRNA
ENSGALG00000043142			13	1438620	1451031	-1	protein_coding
ENSGALG00000008297	SEMA4B	semaphorin 4B [Source:NCBI gene;Acc:415582]	10	20469938	20483264	1	protein_coding
ENSGALG00000047673			22	3690748	3693782	-1	protein_coding
ENSGALG00000027655	TRABD2B	TraB domain containing 2B [Source:NCBI gene;Acc:424623]	8	22557337	22809760	-1	protein_coding
ENSGALG00000034086			1	1006230	1014073	1	lncRNA
ENSGALG00000049961			2	1264262	1282700	-1	lncRNA
ENSGALG00000053334			1	999121	1006305	-1	lncRNA
ENSGALG00000053636			2	1227522	1231654	1	lncRNA
ENSGALG00000050846			1	996100	1005037	1	lncRNA
ENSGALG00000051962			1	904386	908911	-1	lncRNA
ENSGALG00000048146			2	33483	34684	-1	lncRNA
ENSGALG00000048724			1	887789	895576	-1	lncRNA
ENSGALG00000054662			1	843352	851783	-1	lncRNA
ENSGALG00000031473			1	835695	840350	1	lncRNA
ENSGALG00000001118	NEK6	NIMA related kinase 6 [Source:NCBI gene;Acc:417101]	17	9627008	9673191	1	protein_coding
ENSGALG00000051260			30	1759676	1780337	-1	protein_coding
ENSGALG00000046743			31	906894	919642	-1	protein_coding
ENSGALG00000051847			13	1429210	1432828	1	protein_coding
ENSGALG00000048328			1	831763	833772	-1	lncRNA
ENSGALG00000047194			1	825604	829736	-1	lncRNA
ENSGALG00000031791			AADN05001465.1	2501	8496	1	lncRNA
ENSGALG00000025848	gga-mir-6622	gga-mir-6622 [Source:miRBase;Acc:MI0022537]	8	22527475	22527584	-1	miRNA
ENSGALG00000008614	TTL	tubulin tyrosine ligase [Source:NCBI gene;Acc:416711]	3	16096879	16112242	1	protein_coding
ENSGALG00000033092	TMEM127	transmembrane protein 127 [Source:NCBI gene;Acc:100857207]	22	3666803	3671212	1	protein_coding
ENSGALG00000049843		zinc finger protein 664-like [Source:NCBI gene;Acc:107049738]	31	893009	917143	-1	protein_coding
ENSGALG00000008419	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component [Source:NCBI gene;Acc:416119]	12	19853528	19868566	-1	protein_coding
ENSGALG00000000654	TMED6	transmembrane p24 trafficking protein 6 [Source:NCBI gene;Acc:101750075]	11	18934966	18937487	-1	protein_coding
ENSGALG00000017312	PPME1	protein phosphatase methylesterase 1 [Source:NCBI gene;Acc:419058]	1	196023421	196053237	-1	protein_coding
ENSGALG00000046797			1	806034	808401	-1	lncRNA
ENSGALG00000009526	VTI1B	vesicle transport through interaction with t-SNAREs 1B [Source:NCBI gene;Acc:423273]	5	29091857	29099825	-1	protein_coding
ENSGALG00000006995	APOD	apolipoprotein D [Source:NCBI gene;Acc:424893]	9	12832591	12836179	1	protein_coding
ENSGALG00000046939		Rab geranylgeranyltransferase subunit alpha [Source:NCBI gene;Acc:112530971]	30	1697740	1701045	1	protein_coding
ENSGALG00000049599			6	23956531	23969457	-1	lncRNA
ENSGALG00000053751			1	799314	802388	1	lncRNA
ENSGALG00000037374			9	24122589	24125592	-1	lncRNA
ENSGALG00000046846			9	23843069	23858982	-1	lncRNA
ENSGALG00000048824			9	23580459	23590269	-1	lncRNA
ENSGALG00000048648		uncharacterized LOC107053690 [Source:NCBI gene;Acc:107053690]	6	24097875	24107567	-1	lncRNA
ENSGALG00000016870	TMTC4	transmembrane and tetratricopeptide repeat containing 4 [Source:NCBI gene;Acc:418772]	1	145329072	145382220	1	protein_coding
ENSGALG00000000504	ETV7	ETS variant 7 [Source:NCBI gene;Acc:419813]	26	1539943	1544102	-1	protein_coding
ENSGALG00000052525			9	22916463	22922512	-1	lncRNA
ENSGALG00000049370			6	24005577	24010274	-1	lncRNA
ENSGALG00000048075			9	22802278	22806583	-1	lncRNA
ENSGALG00000051053			6	23938904	23947699	-1	lncRNA
ENSGALG00000048695			6	23911232	23918002	-1	lncRNA
ENSGALG00000052456			9	22779515	22791354	-1	lncRNA
ENSGALG00000046925			9	22512481	22528095	-1	lncRNA
ENSGALG00000052005			6	23184626	23186110	-1	lncRNA
ENSGALG00000035389			9	22456160	22458847	1	lncRNA
ENSGALG00000048148			1	87362293	87533270	1	lncRNA
ENSGALG00000046861			6	23080333	23092261	1	lncRNA
