geneSymbol	Chromosome	GeneStart	GeneEnd	GeneType	GeneName	GeneDescription	logFC_brain	logCPM_brain	Pvalue_brain	adjP_brain	logFC_gonad	logCPM_gonad	Pvalue_gonad	adjP_gonad
ENSCJPG00005000460	1	701660	707919	protein_coding	NCAPH2	non-SMC condensin II complex subunit H2 [Source:HGNC Symbol;Acc:HGNC:25071]	0.601983319	3.893668411	0.150855219	0.999994659	-0.591506686	5.423188223	0.005538945	0.008966039
ENSCJPG00005000464	1	708535	709278	protein_coding	SCO2	"protein SCO2 homolog, mitochondrial [Source:NCBI gene;Acc:107309199]"	0.478878864	3.101031761	0.309775859	0.999994659	0.091696712	2.461917546	0.783472444	0.814838469
ENSCJPG00005000471	1	712535	718343	protein_coding	IRF5	interferon regulatory factor 5 [Source:NCBI gene;Acc:107309479]	0.990959965	3.205913989	0.255572269	0.999994659	1.073057531	3.626198765	0.020854542	0.030692675
ENSCJPG00005000477	1	720839	736871	protein_coding	TNPO3	transportin 3 [Source:NCBI gene;Acc:107309307]	-0.048015693	5.971253434	0.810691871	0.999994659	2.306840352	7.484618988	1.39E-28	1.25E-27
ENSCJPG00005000486	1	748191	757014	protein_coding	SMO	"smoothened, frizzled class receptor [Source:NCBI gene;Acc:107309414]"	0.597256445	4.14359644	0.053229181	0.999994659	0.216584046	6.551460272	0.185320181	0.228488658
ENSCJPG00005000499	1	758140	793716	protein_coding	AHCYL2	adenosylhomocysteinase like 2 [Source:NCBI gene;Acc:107309655]	0.093522673	6.997671005	0.662618965	0.999994659	0.513995893	5.708957394	0.001935962	0.003341737
ENSCJPG00005000517	1	767425	771296	protein_coding			0.141444487	-0.758799081	0.827607199	0.999994659	2.860435616	-0.467465088	0.000223922	0.000437958
ENSCJPG00005000519	1	796335	809275	protein_coding	STRIP2	striatin interacting protein 2 [Source:NCBI gene;Acc:107309953]	0.252723664	4.764130435	0.676578799	0.999994659	0.48749281	6.602492501	0.05669871	0.077560442
ENSCJPG00005000523	1	817599	817817	protein_coding	SMKR1	small lysine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:43561]	0.277871906	3.301108629	0.405124985	0.999994659	4.908006018	5.398618815	1.63E-67	4.58E-66
ENSCJPG00005000527	1	838607	870222	protein_coding	NRF1	nuclear respiratory factor 1 [Source:NCBI gene;Acc:107310257]	0.015796457	2.844730339	0.965378393	0.999994659	0.283592733	3.873476231	0.26897966	0.31703648
ENSCJPG00005000542	1	887241	917379	protein_coding	UBE2H	ubiquitin conjugating enzyme E2 H [Source:NCBI gene;Acc:107310504]	0.012376032	6.809156582	0.950370178	0.999994659	0.247859184	6.935690179	0.132408714	0.167981595
ENSCJPG00005000551	1	926300	934675	protein_coding	ZC3HC1	zinc finger C3HC-type containing 1 [Source:NCBI gene;Acc:107310433]	0.036062547	3.857983979	0.890464456	0.999994659	-0.048588983	4.750043777	0.829040158	0.85570298
ENSCJPG00005000554	1	935030	945694	protein_coding	KLHDC10	kelch domain containing 10 [Source:NCBI gene;Acc:107310867]	-0.023260345	5.185814773	0.914646833	0.999994659	0.45157791	4.200358019	0.052973538	0.072781824
ENSCJPG00005000558	1	956643	965931	protein_coding	TMEM209	transmembrane protein 209 [Source:NCBI gene;Acc:107310928]	0.083018148	5.531382418	0.697492143	0.999994659	0.418158002	6.898033537	0.051765772	0.071239544
ENSCJPG00005000563	1	970656	978213	protein_coding	CPA2	carboxypeptidase A2-like [Source:NCBI gene;Acc:107311052]	0.424651533	0.137270011	0.585487623	0.999994659	4.1387947	3.381834851	1.72E-18	9.88E-18
ENSCJPG00005000571	1	980633	984263	protein_coding		carboxypeptidase A1-like [Source:NCBI gene;Acc:107310992]	-0.671449174	-0.754383239	0.296324981	0.999994659	7.044117351	3.679593073	4.07E-56	8.91E-55
ENSCJPG00005000583	1	985212	988202	protein_coding	CPA1	carboxypeptidase A1-like [Source:NCBI gene;Acc:107311154]	0.727119507	-1.033942114	0.348552669	0.999994659	4.502176846	0.533054115	2.31E-12	9.15E-12
ENSCJPG00005000597	1	989703	996342	protein_coding	CEP41	centrosomal protein 41 [Source:NCBI gene;Acc:107324602]	0.014327475	3.866093479	0.959097051	0.999994659	5.2189018	9.369285291	1.54E-233	5.02E-231
ENSCJPG00005000602	1	998769	1002110	protein_coding	MEST	mesoderm specific transcript [Source:NCBI gene;Acc:107311588]	0.088712229	1.929166147	0.841746863	0.999994659	0.833927018	2.907571694	0.006509814	0.01040358
ENSCJPG00005000679	1	999567	1018678	protein_coding	COPG2	coatomer protein complex subunit gamma 2 [Source:NCBI gene;Acc:107311793]	0.001178606	6.468848712	0.995396278	0.999994659	1.539434411	8.195173898	1.19E-19	7.25E-19
ENSCJPG00005004000	1	1029223	1035619	protein_coding			-0.180769718	2.272406074	0.599620042	0.999994659	0.564329186	3.407604853	0.067482411	0.091248637
ENSCJPG00005004003	1	1035645	1053239	protein_coding	FBH1	F-box DNA helicase 1 [Source:NCBI gene;Acc:107311231]	-0.084888101	5.329897226	0.686294541	0.999994659	0.230567059	6.239343605	0.194271369	0.238515314
ENSCJPG00005004014	1	1056821	1069944	protein_coding	ANKRD16	ankyrin repeat domain 16 [Source:NCBI gene;Acc:107311493]	0.068254329	2.584938442	0.860869135	0.999994659	0.808330982	3.693388933	0.002475281	0.004220382
ENSCJPG00005004015	1	1072962	1085059	protein_coding		GDP dissociation inhibitor 2 [Source:NCBI gene;Acc:107311926]	0.060735487	9.61619782	0.74582841	0.999994659	-2.487525542	8.385325354	5.55E-60	1.34E-58
ENSCJPG00005004018	1	1087902	1114668	protein_coding	TASOR2	transcription activation suppressor family member 2 [Source:NCBI gene;Acc:107311861]	-0.153084628	5.648900836	0.485769166	0.999994659	-0.764796318	5.612717108	0.000161179	0.000321254
ENSCJPG00005004022	1	1120431	1126407	protein_coding	ASB13	ankyrin repeat and SOCS box containing 13 [Source:NCBI gene;Acc:107312085]	0.032195844	4.034354884	0.898667592	0.999994659	2.901759275	5.958487492	7.09E-38	9.09E-37
ENSCJPG00005004026	1	1129990	1132110	protein_coding			-0.246760265	-0.614593808	0.745064365	0.999994659	-1.622799194	-0.416659836	0.049740923	0.06862491
ENSCJPG00005004043	1	1136219	1145868	protein_coding	NET1	neuroepithelial cell transforming 1 [Source:NCBI gene;Acc:107311988]	-0.087556608	6.175190935	0.700641675	0.999994659	-1.245759401	7.051509358	7.99E-16	3.97E-15
ENSCJPG00005004051	1	1194406	1197900	protein_coding		tubulin alpha-8 chain-like [Source:NCBI gene;Acc:107312307]	-0.049705427	1.038702958	0.906711666	0.999994659	-4.297403901	4.361829209	1.21E-46	2.05E-45
ENSCJPG00005004065	1	1198101	1203021	protein_coding		tubulin alpha-3 chain [Source:NCBI gene;Acc:107312375]	0.937461649	-0.972795341	0.263331613	0.999994659	-5.468154876	6.043861467	3.69E-110	2.05E-108
ENSCJPG00005004068	1	1208618	1209079	protein_coding	UCN3	urocortin 3 [Source:NCBI gene;Acc:107312476]	1.273671227	1.318357247	0.358953758	0.999994659	1.118684206	-2.365203883	0.400879695	0.452472479
ENSCJPG00005004069	1	1266790	1269053	lncRNA			0.359192516	-2.232662813	0.790100243	0.999994659	-0.245324764	-1.620829455	0.757753563	0.792506093
ENSCJPG00005004070	1	1270801	1274221	lncRNA			-0.714500577	-2.228297388	0.559845967	0.999994659	-0.064573136	-1.950231234	0.943727728	0.953548925
ENSCJPG00005004071	1	1274721	1275682	lncRNA			-0.261410605	-2.498515129	0.874827112	0.999994659	0.780783125	-2.290088585	0.4741973	0.524720479
ENSCJPG00005004073	1	1280155	1289839	protein_coding			-0.764504807	-1.431834175	0.411652508	0.999994659	-0.511906747	-0.909494897	0.477147298	0.527438311
ENSCJPG00005004085	1	1321800	1332100	protein_coding	SLC35B4	solute carrier family 35 member B4 [Source:NCBI gene;Acc:107312714]	-0.152764628	6.309169544	0.416500574	0.999994659	-1.301832732	6.072315488	1.69E-12	6.75E-12
ENSCJPG00005004087	1	1338384	1382920	protein_coding	LRGUK	leucine rich repeats and guanylate kinase domain containing [Source:NCBI gene;Acc:107312603]	-0.285964747	2.098776698	0.623043926	0.999994659	6.831796971	6.476582503	4.97E-124	3.34E-122
ENSCJPG00005004097	1	1387776	1755624	protein_coding	EXOC4	exocyst complex component 4 [Source:HGNC Symbol;Acc:HGNC:30389]	-0.11222217	7.202415424	0.595791792	0.999994659	-0.595988877	5.96327638	0.002441154	0.00416626
ENSCJPG00005004101	1	1801579	2002922	protein_coding	CHCHD3	coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:NCBI gene;Acc:107313330]	-0.138859154	6.194443812	0.56016369	0.999994659	-0.870881363	5.591653316	8.45E-07	2.14E-06
ENSCJPG00005004128	1	2075750	2442328	protein_coding	PLXNA4	plexin A4 [Source:NCBI gene;Acc:107313179]	-0.279469629	5.897250474	0.509942393	0.999994659	2.382302721	4.720939378	8.99E-15	4.19E-14
ENSCJPG00005004134	1	2518660	2521056	protein_coding			1.773152007	-2.612861781	0.283766964	0.999994659	9.208691396	1.283008834	1.01E-23	7.42E-23
ENSCJPG00005004135	1	2643369	2655766	lncRNA			-2.773987927	-2.502920409	0.088494462	0.999994659	1.711511708	-0.968582452	0.072003398	0.096903651
ENSCJPG00005004136	1	2732540	2736818	lncRNA			-0.86040747	-0.395394281	0.398180205	0.999994659	1.60923446	-1.345787113	0.027815227	0.040168263
ENSCJPG00005004151	1	2744743	2780356	protein_coding		podocalyxin like [Source:NCBI gene;Acc:107313928]	0.026596548	6.797782036	0.90767828	0.999994659	-4.981976592	7.552775512	1.23E-89	5.04E-88
ENSCJPG00005004154	1	2790020	2883356	protein_coding	MKLN1	muskelin 1 [Source:NCBI gene;Acc:107313806]	-0.095959785	5.512663852	0.650805314	0.999994659	1.012408081	6.648974401	3.11E-10	1.05E-09
ENSCJPG00005004156	1	3045482	3065747	lncRNA			0.072095919	0.552989443	0.885344215	0.999994659	0.822036611	0.137060994	0.131491865	0.166972694
ENSCJPG00005004157	1	3049924	3050012	miRNA	MIR29A	microRNA 29a [Source:HGNC Symbol;Acc:HGNC:31616]	1.773152007	-2.612861781	0.283766964	0.999994659	2.844743048	-2.727288146	0.075998149	0.101071492
ENSCJPG00005004162	1	3081550	3085734	protein_coding		endonuclease domain-containing 1 protein-like [Source:NCBI gene;Acc:107314934]	0.327035566	2.109803217	0.407597272	0.999994659	-0.806077607	0.880340808	0.166254149	0.206825196
ENSCJPG00005004164	1	3091267	3103020	protein_coding		interleukin-2 receptor subunit alpha-like [Source:NCBI gene;Acc:107315066]	-0.005694252	-1.795764468	0.994400973	0.999994659	1.084255956	0.299165545	0.130807037	0.166245833
ENSCJPG00005004165	1	3119618	3133122	protein_coding	RBM17	RNA binding motif protein 17 [Source:NCBI gene;Acc:107314772]	0.101578686	6.152255341	0.613069181	0.999994659	-0.503639708	6.272695135	0.006019314	0.009680047
ENSCJPG00005004174	1	3144462	3180502	protein_coding	PFKFB3	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:NCBI gene;Acc:107314509]"	-0.069410249	7.250992546	0.820551318	0.999994659	1.327201014	7.313753642	6.09E-16	3.05E-15
ENSCJPG00005004179	1	3250336	3295310	protein_coding	PRKCQ	protein kinase C theta [Source:NCBI gene;Acc:107315299]	0.525836378	4.486404826	0.133808182	0.999994659	-1.313296794	1.942571733	0.002164852	0.003718801
ENSCJPG00005004190	1	3297517	3328059	lncRNA			0.400340686	0.026098346	0.746108985	0.999994659	1.119382719	-2.631452515	0.4358269	0.487339247
ENSCJPG00005004196	1	3465878	3551588	protein_coding	SFMBT2	Scm like with four mbt domains 2 [Source:NCBI gene;Acc:107315417]	0.307293782	6.386624105	0.480827591	0.999994659	-0.268344586	4.083317545	0.239624537	0.285023024
ENSCJPG00005004202	1	3578709	3606175	protein_coding		store-operated calcium entry regulator STIMATE-like [Source:NCBI gene;Acc:107315547]	-0.368410482	0.220956589	0.433284142	0.999994659	-7.12402828	5.807837986	1.58E-99	7.48E-98
ENSCJPG00005004205	1	3609542	3650215	protein_coding	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5 [Source:NCBI gene;Acc:107315475]	0.125620134	5.486377289	0.63097189	0.999994659	0.68588159	5.517526269	0.235584568	0.280703962
ENSCJPG00005004214	1	3656472	3677809	protein_coding	ITIH2	inter-alpha-trypsin inhibitor heavy chain 2 [Source:NCBI gene;Acc:107315650]	0.195280215	4.308779991	0.711823751	0.999994659	4.641757561	3.152096723	5.68E-24	4.24E-23
ENSCJPG00005004216	1	3678897	3691209	protein_coding	KIN	Kin17 DNA and RNA binding protein [Source:NCBI gene;Acc:107315708]	0.108754186	4.89810115	0.660302044	0.999994659	-0.824540603	5.27239818	0.000495345	0.000929141
ENSCJPG00005004221	1	3691252	3696775	protein_coding	ATP5F1C	ATP synthase F1 subunit gamma [Source:NCBI gene;Acc:107315811]	-0.009563539	8.23491076	0.962611665	0.999994659	1.011807432	7.991094375	1.03E-09	3.38E-09
ENSCJPG00005004223	1	3698185	3805253	protein_coding	TAF3	TATA-box binding protein associated factor 3 [Source:NCBI gene;Acc:107315873]	0.003451311	5.766795951	0.985750806	0.999994659	0.448282071	5.930382857	0.005509979	0.008925164
ENSCJPG00005004226	1	3836083	3855713	protein_coding	GATA3	GATA binding protein 3 [Source:NCBI gene;Acc:107315979]	1.012505617	4.065475096	0.418826753	0.999994659	-6.049484663	2.454513334	8.54E-07	2.16E-06
ENSCJPG00005004236	1	4435414	4497154	lncRNA			-0.127843606	-2.008918355	0.906844897	0.999994659	2.864835877	-2.724866838	0.07461613	0.099785773
ENSCJPG00005004237	1	4735135	4826440	lncRNA			0.385186911	4.005593017	0.496423584	0.999994659	1.08237979	-2.621326332	0.448590526	0.499834712
ENSCJPG00005004241	1	4835893	4844392	lncRNA			-1.414379558	-1.807714798	0.214477301	0.999994659	5.681415778	-1.689498644	9.23E-06	2.11E-05
ENSCJPG00005004245	1	5081667	5333836	protein_coding	CELF2	CUGBP Elav-like family member 2 [Source:NCBI gene;Acc:107316324]	-0.036732892	6.925495368	0.918959586	0.999994659	-2.914457084	3.618996909	8.53E-13	3.48E-12
ENSCJPG00005004251	1	5397637	5486494	protein_coding	USP6NL	USP6 N-terminal like [Source:NCBI gene;Acc:107316856]	0.210077945	6.337080777	0.484699597	0.999994659	3.653798363	7.688409844	2.75E-61	6.83E-60
ENSCJPG00005004257	1	5504667	5507652	protein_coding	ECHDC3	enoyl-CoA hydratase domain containing 3 [Source:NCBI gene;Acc:107317022]	-0.295946119	3.253103745	0.4285131	0.999994659	-0.525485114	4.168741086	0.028562082	0.041194198
ENSCJPG00005004259	1	5532966	5545563	protein_coding	PROSER2	proline and serine rich 2 [Source:NCBI gene;Acc:107317253]	-0.328006531	5.104666553	0.483573121	0.999994659	-2.574897165	5.977287193	4.56E-21	2.98E-20
ENSCJPG00005004260	1	5552280	5595779	protein_coding	UPF2	UPF2 regulator of nonsense mediated mRNA decay [Source:NCBI gene;Acc:107317075]	-0.093427737	7.118742656	0.628260293	0.999994659	1.025500875	7.961695375	5.22E-11	1.88E-10
ENSCJPG00005004273	1	5602111	5616894	protein_coding	DHTKD1	dehydrogenase E1 and transketolase domain containing 1 [Source:NCBI gene;Acc:107317305]	0.022562482	4.517250991	0.922922285	0.999994659	2.603243448	8.36685074	9.24E-26	7.42E-25
ENSCJPG00005004471	1	5619770	5634325	protein_coding	SEC61A2	SEC61 translocon alpha 2 subunit [Source:NCBI gene;Acc:107317364]	0.018955491	6.73623863	0.926354438	0.999994659	0.397205049	5.720377705	0.033424931	0.047467007
ENSCJPG00005004472	1	5635979	5646381	protein_coding	NUDT5	nudix hydrolase 5 [Source:NCBI gene;Acc:107317497]	-0.097361595	3.276449604	0.755412929	0.999994659	-0.514688732	4.21055417	0.092296238	0.12054507
ENSCJPG00005004475	1	5646358	5677299	protein_coding	CDC123	cell division cycle 123 [Source:NCBI gene;Acc:107317448]	-0.007903933	5.721578548	0.969737457	0.999994659	-0.292775641	5.106058736	0.210282522	0.253626116
ENSCJPG00005004517	1	5703786	5902218	protein_coding	CAMK1D	calcium/calmodulin dependent protein kinase ID [Source:NCBI gene;Acc:107317642]	-0.141678035	6.786092212	0.669982252	0.999994659	1.461975955	5.099893671	5.12E-06	1.20E-05
ENSCJPG00005004518	1	5912565	5913948	lncRNA			0.560010233	-2.399064161	0.70477154	0.999994659	-1.603467747	-1.759189102	0.088847736	0.116420753
ENSCJPG00005004519	1	5920607	5955219	protein_coding	CCDC3	coiled-coil domain containing 3 [Source:NCBI gene;Acc:107317800]	-0.145551904	1.864243277	0.76984606	0.999994659	-4.20664089	4.087454372	1.91E-39	2.58E-38
ENSCJPG00005004520	1	5975483	5990272	protein_coding	OPTN	optineurin [Source:NCBI gene;Acc:107318043]	0.084835056	7.523358986	0.657516408	0.999994659	-2.456053833	7.106356105	3.84E-50	7.25E-49
ENSCJPG00005004521	1	5993585	6005689	protein_coding	MCM10	minichromosome maintenance 10 replication initiation factor [Source:NCBI gene;Acc:107317863]	-0.50300588	3.134025331	0.325008354	0.999994659	-0.560073876	6.012019024	0.001212363	0.002156608
ENSCJPG00005004524	1	6009256	6020334	protein_coding	PHYH	phytanoyl-CoA 2-hydroxylase [Source:NCBI gene;Acc:107318471]	0.186134203	5.67648816	0.489360612	0.999994659	-1.437225173	5.905468226	2.32E-17	1.26E-16
ENSCJPG00005004635	1	6023236	6046061	protein_coding	SEPHS1	selenophosphate synthetase 1 [Source:NCBI gene;Acc:107318277]	-0.026267322	5.793781636	0.916890155	0.999994659	0.194677918	5.602318195	0.347251016	0.398255192
ENSCJPG00005004636	1	6057105	6100158	protein_coding		BEN domain containing 7 [Source:NCBI gene;Acc:107318373]	0.140139668	5.232383822	0.613022607	0.999994659	1.935172464	6.685501844	5.55E-36	6.64E-35
ENSCJPG00005004637	1	6110229	6126773	protein_coding		pre-mRNA processing factor 18 [Source:NCBI gene;Acc:107318877]	0.160391268	6.301722151	0.414263456	0.999994659	0.049156975	6.180602853	0.820448917	0.847882484
ENSCJPG00005004644	1	6129914	6314584	protein_coding	FRMD4A	FERM domain containing 4A [Source:NCBI gene;Acc:107318558]	0.170146045	6.516166672	0.427080792	0.999994659	0.532522475	5.16318664	0.016123029	0.024135803
ENSCJPG00005004649	1	6408481	6410499	lncRNA			0.530153517	-2.403754427	0.717268982	0.999994659	10.31865585	2.369936613	4.97E-32	5.12E-31
ENSCJPG00005004650	1	6504063	6553243	protein_coding	FAM107B	family with sequence similarity 107 member B [Source:NCBI gene;Acc:107319018]	-0.120820756	4.057851967	0.645367409	0.999994659	-0.260433683	4.063838749	0.312285351	0.361474807
ENSCJPG00005004677	1	6577499	6598977	protein_coding			2.540702395	-2.508111261	0.13728923	0.999994659	6.178389187	-1.359426051	4.78E-08	1.36E-07
ENSCJPG00005004679	1	6614754	6622883	protein_coding		heat shock protein family A (Hsp70) member 14 [Source:NCBI gene;Acc:107319297]	0.11798691	5.179120373	0.609774013	0.999994659	-0.856168372	6.17822229	0.010897884	0.016846327
ENSCJPG00005004689	1	6624874	6630543	protein_coding	SUV39H2	suppressor of variegation 3-9 homolog 2 [Source:NCBI gene;Acc:107319605]	-0.099740701	5.097256985	0.635215829	0.999994659	1.67908397	6.177433834	4.02E-19	2.39E-18
ENSCJPG00005004690	1	6634362	6642884	protein_coding	DCLRE1C	DNA cross-link repair 1C [Source:NCBI gene;Acc:107319508]	-0.029749038	2.85904657	0.938572361	0.999994659	2.050032285	4.771950819	1.68E-14	7.71E-14
ENSCJPG00005004691	1	6646356	6648203	protein_coding	MEIG1	meiosis/spermiogenesis associated 1 [Source:NCBI gene;Acc:107319726]	-1.071251894	1.113902069	0.068883321	0.999994659	4.912106924	7.731576977	7.78E-95	3.42E-93
ENSCJPG00005004692	1	6655635	6659980	protein_coding	TMEM243	transmembrane protein 243 [Source:NCBI gene;Acc:107319887]	0.031124065	3.528877259	0.929213172	0.999994659	1.84271737	2.806600419	2.74E-08	8.01E-08
ENSCJPG00005004693	1	6659139	6685026	protein_coding	DMTF1	cyclin D binding myb like transcription factor 1 [Source:NCBI gene;Acc:107319357]	-0.048342813	5.915449308	0.805413481	0.999994659	0.540678028	5.582831091	0.003878724	0.006420786
ENSCJPG00005004696	1	6672203	6672357	misc_RNA			0.64760582	-0.414561505	0.368949063	0.999994659	-0.931196919	-0.694245546	0.104686268	0.135375273
ENSCJPG00005004699	1	6716203	6797679	protein_coding	KIAA1324L	KIAA1324 like [Source:NCBI gene;Acc:107320021]	-0.231409911	7.058703236	0.291275875	0.999994659	-1.090650055	2.628305661	0.008112711	0.012781409
ENSCJPG00005004710	1	6805400	6871972	protein_coding	GRM3	glutamate metabotropic receptor 3 [Source:NCBI gene;Acc:107320082]	0.446283015	7.684366607	0.383801126	0.999994659	3.936859924	1.736337542	8.20E-09	2.51E-08
ENSCJPG00005004721	1	7477874	7574243	protein_coding	SEMA3D	semaphorin 3D [Source:NCBI gene;Acc:107320216]	0.447170481	5.315402359	0.118448594	0.999994659	-3.282256487	5.05645256	2.66E-14	1.21E-13
ENSCJPG00005004965	1	7778239	7794086	lncRNA			-1.942090527	-2.614728557	0.221888271	0.999994659	6.57717448	-1.036169793	2.10E-06	5.12E-06
ENSCJPG00005004970	1	7853197	8091097	protein_coding	SEMA3A	semaphorin 3A [Source:NCBI gene;Acc:107320283]	-0.511498908	5.416517606	0.369284585	0.999994659	-1.839778979	4.801239775	7.85E-10	2.61E-09
ENSCJPG00005004976	1	8375587	8385118	lncRNA			1.773152007	-2.612861781	0.283766964	0.999994659	7.596791379	-0.237757994	4.34E-13	1.81E-12
ENSCJPG00005004978	1	8484316	8603965	protein_coding	SEMA3E	semaphorin 3E [Source:NCBI gene;Acc:107322482]	0.413784751	5.387186443	0.317876596	0.999994659	-3.917971705	2.710834883	1.97E-19	1.19E-18
ENSCJPG00005004987	1	8685688	8988144	protein_coding	PCLO	piccolo presynaptic cytomatrix protein [Source:NCBI gene;Acc:107322076]	-0.165478756	8.561282705	0.478655065	0.999994659	1.524162259	4.251963728	0.000164476	0.000327452
