Gene stable ID	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type	logFC	logCPM	LR	PValue	FDR
ENSGALG00000000137	SNRPE	small nuclear ribonucleoprotein polypeptide E [Source:NCBI gene;Acc:396180]	26	1678657	1680974	1	protein_coding	0.160648249851454	9.93909120345326	73.5358834083302	9.88231757216615e-18	6.03352912583843e-17
ENSGALG00000000142	CEPT1	choline/ethanolamine phosphotransferase 1 [Source:NCBI gene;Acc:421152]	26	1041982	1065980	-1	protein_coding	-0.283615478263094	4.50237018568589	6.68486043541241	0.00972351353513404	0.0178695464339718
ENSGALG00000000146	SUPT6H	SPT6 homolog, histone chaperone [Source:NCBI gene;Acc:425418]	19	5921244	5941204	1	protein_coding	-0.880542894020366	2.97654552403959	20.7012915650791	5.36797819690557e-06	1.54178645655506e-05
ENSGALG00000000150	RPL9	ribosomal protein L9 [Source:NCBI gene;Acc:425468]	4	69289315	69296300	1	protein_coding	-0.120332099221024	12.0251668130619	454.301846085942	8.35457992402015e-101	2.88622195884473e-99
ENSGALG00000000151	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif, 19 [Source:NCBI gene;Acc:415600]	Z	45410076	45570562	-1	protein_coding	-1.10463991505235	1.0389261217191	6.90523003810699	0.00859439677366501	0.0159900405975484
ENSGALG00000000154	DENND2D	DENN domain containing 2D [Source:NCBI gene;Acc:421153]	26	1029892	1037452	1	protein_coding	-0.690610689702799	-0.228549561066144	0.726163754116117	0.394129498395343	0.460341929877131
ENSGALG00000000156	BRD2	bromodomain containing 2 [Source:NCBI gene;Acc:417049]	16	2574359	2580734	-1	protein_coding	-0.702197729497409	6.97772463950299	216.873242901537	4.34941443219063e-49	6.78581853347666e-48
ENSGALG00000000161	ISOC1	isochorismatase domain containing 1 [Source:NCBI gene;Acc:415601]	Z	45666922	45706187	-1	protein_coding	1.55628920304452	6.17298226027788	566.447327618068	3.32753486504631e-125	1.46306315568281e-123
ENSGALG00000000164	MYBPHL	myosin binding protein H like [Source:NCBI gene;Acc:421154]	26	1011100	1020640	-1	protein_coding	1.24666899313417	0.442831922467346	5.00921095470514	0.0252127964342512	0.0425079476041993
ENSGALG00000000168	ADORA1	adenosine A1 receptor [Source:NCBI gene;Acc:374212]	26	991509	1008522	1	protein_coding	-2.20888314058962	0.374110301666468	12.0787816376653	0.000509989139070622	0.0011653901362
ENSGALG00000000184	SLC27A6	solute carrier family 27 (fatty acid transporter), member 6 [Source:NCBI gene;Acc:769933]	Z	45721101	45760913	-1	protein_coding	-3.93639447250357	0.849442683932266	39.5474501176359	3.2018422610794e-10	1.30227763481708e-09
ENSGALG00000000186	MTCH1	mitochondrial carrier 1 [Source:NCBI gene;Acc:425491]	26	1670781	1679287	-1	protein_coding	-0.688801577453483	0.145845490741332	1.16072582898673	0.28131506075195	0.345784390696651
ENSGALG00000000189	YTHDC2	YTH domain containing 2 [Source:NCBI gene;Acc:415602]	Z	45786454	45824614	-1	protein_coding	1.88264899984128	4.57893700971864	260.736266768967	1.18584636016508e-58	2.23582286618244e-57
ENSGALG00000000195	SLC23A2	solute carrier family 23 member 2 [Source:NCBI gene;Acc:419520]	22	501885	551476	1	protein_coding	0.665781125658306	3.3157986129627	15.6322074218916	7.69330156498264e-05	0.000194721926300038
ENSGALG00000000201	PLEKHM1	pleckstrin homology and RUN domain containing M1 [Source:NCBI gene;Acc:419939]	27	4004619	4020058	-1	protein_coding	-0.913410248165956	3.17135678335991	25.5828614012092	4.23786805477439e-07	1.35193703014942e-06
ENSGALG00000000208	MCC	mutated in colorectal cancers [Source:NCBI gene;Acc:415603]	Z	45855483	46033418	1	protein_coding	0.967178242200246	3.03339825570002	26.1742564041694	3.11953727129337e-07	1.00818514252956e-06
ENSGALG00000000209	PRNP	prion protein [Source:NCBI gene;Acc:396452]	22	577317	581857	-1	protein_coding	-1.62574378562621	5.1787795400395	301.698483811566	1.40518135312957e-67	3.05895056207698e-66
ENSGALG00000000215	DCP2	decapping mRNA 2 [Source:NCBI gene;Acc:769972]	Z	46038892	46065354	-1	protein_coding	0.401935337706721	6.42818940451883	50.5676948616896	1.15124521782335e-12	5.40356616163164e-12
ENSGALG00000000218	SRP19	signal recognition particle 19 [Source:NCBI gene;Acc:770061]	Z	46094705	46101520	-1	protein_coding	1.35060162223683	6.85820502845255	698.07298747463	7.84777442281461e-154	4.34321605370098e-152
ENSGALG00000000220	APC	APC, WNT signaling pathway regulator [Source:NCBI gene;Acc:415607]	Z	46112427	46200441	-1	protein_coding	0.53532122456943	5.07596729174644	35.3229077823551	2.79327198202764e-09	1.05904422386079e-08
ENSGALG00000000223	TMEM183A	transmembrane protein 183A [Source:NCBI gene;Acc:421156]	26	923122	934781	-1	protein_coding	-0.569760230123739	7.47823050982407	200.615254156944	1.53310067859131e-45	2.23222669484945e-44
ENSGALG00000000225	MGAT4C	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme C (putative) [Source:NCBI gene;Acc:395415]	26	915271	920488	-1	protein_coding	-0.397382338056869	1.33848805275545	1.2351977944023	0.266398567132302	0.330149026379203
ENSGALG00000000226	TMEM9	transmembrane protein 9 [Source:NCBI gene;Acc:421157]	26	910864	914096	1	protein_coding	0.675313484699587	1.50842229372857	4.07047542370844	0.0436389903314167	0.0695947181207671
ENSGALG00000000227	DPYSL2	dihydropyrimidinase like 2 [Source:NCBI gene;Acc:395155]	22	605206	646892	-1	protein_coding	-0.247830044290269	6.24530899747612	17.0027706410454	3.73253124033354e-05	9.80880640620608e-05
ENSGALG00000000233	SP2	Sp2 transcription factor [Source:NCBI gene;Acc:425673]	27	6502621	6508099	-1	protein_coding	0.0339195222367618	-0.813510839021335	0.000621770375728303	0.980106551625388	0.983111709768911
ENSGALG00000000234	EPB41L4A	erythrocyte membrane protein band 4.1 like 4A [Source:NCBI gene;Acc:415608]	Z	46272436	46396602	1	protein_coding	1.93530224059449	1.12509871310422	20.4378839745942	6.15982816069366e-06	1.76148916348474e-05
ENSGALG00000000235	PPP2R2A	protein phosphatase 2 regulatory subunit Balpha [Source:NCBI gene;Acc:419523]	22	688378	726427	-1	protein_coding	-0.147862689528116	6.24534527962205	6.07196296826321	0.0137344240388402	0.0246183907521848
ENSGALG00000000241	STARD4	StAR related lipid transfer domain containing 4 [Source:NCBI gene;Acc:769322]	Z	46594962	46603606	1	protein_coding	1.15447972282817	4.23580252167611	86.3731209590716	1.48996330112603e-20	1.01683139642491e-19
ENSGALG00000000242	EBF2	early B-cell factor 2 [Source:NCBI gene;Acc:395176]	22	736997	875384	1	protein_coding	0.849204414482646	2.49231310809333	13.6771834498845	0.00021707594783106	0.000519748782538251
ENSGALG00000000243	RDM1	RAD52 motif containing 1 [Source:NCBI gene;Acc:395228]	27	4030006	4034840	-1	protein_coding	-1.38329869471131	3.30654488622972	60.7025248305245	6.63849437308067e-15	3.54350342639872e-14
ENSGALG00000000244	CAMK4	calcium/calmodulin dependent protein kinase IV [Source:NCBI gene;Acc:723973]	Z	46616371	46782893	-1	protein_coding	1.14351016333897	3.17646813087226	39.8071899353668	2.80311311495091e-10	1.14302896960095e-09
ENSGALG00000000247	WDR36	WD repeat domain 36 [Source:NCBI gene;Acc:415609]	Z	46811852	46841797	-1	protein_coding	0.859821959306491	5.28111510653682	102.545063624357	4.21665906306149e-24	3.30324756461239e-23
ENSGALG00000000253	SLC25A46	solute carrier family 25 member 46 [Source:NCBI gene;Acc:415610]	Z	46908349	46922477	-1	protein_coding	0.526293291210684	1.91138558074172	3.44590946862939	0.0634085153704329	0.0966373921058632
ENSGALG00000000255	MAN2A1	mannosidase alpha class 2A member 1 [Source:NCBI gene;Acc:415611]	Z	47239613	47357106	-1	protein_coding	-0.900727496444608	1.9823379382406	10.2263462808562	0.00138448648348622	0.00297719459545731
ENSGALG00000000259	PSMF1	proteasome inhibitor subunit 1 [Source:NCBI gene;Acc:430115]	20	9867069	9873205	-1	protein_coding	-0.648356933688777	6.00084102709736	96.2054307302025	1.03560438245499e-22	7.84211242370953e-22
ENSGALG00000000264		praja ring finger ubiquitin ligase 2 [Source:NCBI gene;Acc:415612]	Z	47448939	47484723	1	protein_coding	2.28890914220647	2.49233276781539	79.0671553915798	6.00341475810467e-19	3.84467390726289e-18
ENSGALG00000000273	FER	fer (fps/fes related) tyrosine kinase [Source:NCBI gene;Acc:415614]	Z	47527109	47681655	-1	protein_coding	0.903039449821221	3.36088822870687	29.1271819395073	6.77793268848038e-08	2.32278876237387e-07
ENSGALG00000000274		growth hormone releasing hormone receptor [Source:NCBI gene;Acc:771308]	27	4079597	4087573	-1	protein_coding	2.34249489419362	-0.813510292648496	2.84368932375054	0.0917333714273443	0.133443553159611
ENSGALG00000000275	KCTD9	potassium channel tetramerization domain containing 9 [Source:NCBI gene;Acc:419526]	22	962634	970983	1	protein_coding	-0.437842272656592	3.38723605735459	7.16137310014341	0.0074490152547322	0.0140516950472513
ENSGALG00000000277	GnRH-I	gonadotropin releasing hormone 1 [Source:NCBI gene;Acc:770134]	22	973156	976774	1	protein_coding	-1.5682022637871	-0.895973395184609	1.35132703744519	0.24504625627113	0.306074027209538
ENSGALG00000000280	EFNA5	ephrin A5 [Source:NCBI gene;Acc:396100]	Z	48131380	48335018	1	protein_coding	1.5060556241237	1.47600613631403	17.9192169838312	2.30482099249781e-05	6.18846939911794e-05
ENSGALG00000000284	HOXB4	homeobox B4 [Source:NCBI gene;Acc:396230]	27	6243545	6248818	1	protein_coding	0.0452236744806857	-0.398473549036009	0.00248681462273304	0.960227600245594	0.971670346493655
ENSGALG00000000296	PCNX1	pecanex homolog 1 (Drosophila) [Source:NCBI gene;Acc:426230]	5	27422449	27504335	-1	protein_coding	0.276556715482131	3.91139455463762	4.209459004782	0.0401991558209374	0.064771084590526
ENSGALG00000000299	PKP1	plakophilin 1 [Source:NCBI gene;Acc:421158]	26	827967	854048	-1	protein_coding	1.60212160131626	-0.895972881882292	1.42185650182407	0.233098073562788	0.297087924697506
ENSGALG00000000302	TNNT2	troponin T2, cardiac type [Source:NCBI gene;Acc:396433]	26	807502	813890	1	protein_coding	3.19275878363923	-0.661506664784174	5.68727827728519	0.0170883382131629	0.0299638954148967
ENSGALG00000000311	DOCK5	dedicator of cytokinesis 5 [Source:NCBI gene;Acc:419527]	22	981447	1052989	-1	protein_coding	2.3684488996124	0.18649289245244	11.3149395550148	0.000768859639969641	0.00170987497701365
ENSGALG00000000313	TNNI1	troponin I type 1 (skeletal, slow) [Source:NCBI gene;Acc:421161]	26	790416	794166	1	protein_coding	-2.63782477933951	0.374110260321231	15.6446409630175	7.64288554736704e-05	0.000193666193232143
ENSGALG00000000314	NEFL	neurofilament light [Source:HGNC Symbol;Acc:HGNC:7739]	22	1089882	1108097	1	protein_coding	-0.251851876190136	0.993843046686937	0.371001103151914	0.542459086248781	0.606463806576024
ENSGALG00000000317	NEFM	neurofilament, medium polypeptide [Source:NCBI gene;Acc:396206]	22	1098617	1103124	-1	protein_coding	-0.210157891112509	4.35417517896882	3.31694002111347	0.0685693445554496	0.103735262999432
ENSGALG00000000318	CSRP1	cysteine and glycine rich protein 1 [Source:NCBI gene;Acc:396176]	26	776660	782042	1	protein_coding	-0.871124686281116	4.55372260539371	62.5397813198391	2.61116619724696e-15	1.42455187730138e-14
ENSGALG00000000329	AHCYL1	adenosylhomocysteinase like 1 [Source:NCBI gene;Acc:419803]	26	1296534	1317744	1	protein_coding	-0.980181681804311	5.44687303804969	145.435153324247	1.72514888405765e-33	1.817287517638e-32
ENSGALG00000000336	PPP1R12B	protein phosphatase 1 regulatory subunit 12B [Source:HGNC Symbol;Acc:HGNC:7619]	26	686280	770677	-1	protein_coding	-0.243583986341698	2.17643101690506	0.912651968289193	0.339411751311	0.403952437372502
ENSGALG00000000349	PSMC5	proteasome 26S subunit, ATPase 5 [Source:NCBI gene;Acc:428274]	27	4119715	4123304	1	protein_coding	-0.397204192103988	7.29858955998671	87.6506728924127	7.80979748274273e-21	5.39939013039342e-20
ENSGALG00000000352	TIMM44	translocase of inner mitochondrial membrane 44 [Source:NCBI gene;Acc:420053]	28	582246	604742	-1	protein_coding	-0.331456469344756	7.93349566376817	92.337666695854	7.30800342208243e-22	5.34478830159401e-21
ENSGALG00000000367	ASIC2	acid sensing ion channel subunit 2 [Source:NCBI gene;Acc:419945]	27	4187017	4266979	-1	protein_coding	-0.91267607700641	0.442826538602191	2.74830626740234	0.0973575108234089	0.140340151665103
ENSGALG00000000374	RNPEP	arginyl aminopeptidase [Source:NCBI gene;Acc:421165]	26	617184	633046	-1	protein_coding	-0.535150205553877	4.31344348434488	20.548943075363	5.81258755676769e-06	1.66561627979093e-05
ENSGALG00000000377	HNRNPM	heterogeneous nuclear ribonucleoprotein M [Source:NCBI gene;Acc:420054]	28	604711	629778	-1	protein_coding	-0.386604392306411	4.99952068141676	17.4846266662599	2.89640326509934e-05	7.68963959927568e-05
ENSGALG00000000378	SLC25A37	solute carrier family 25 (mitochondrial iron transporter), member 37 [Source:NCBI gene;Acc:419530]	22	1324249	1333078	-1	protein_coding	-1.55989999659796	5.17120523916857	279.530951074522	9.50189715932037e-63	1.907926064987e-61
ENSGALG00000000379	ITGB3	integrin subunit beta 3 [Source:NCBI gene;Acc:374209]	27	4721958	4738989	1	protein_coding	-1.91394481392655	2.14582481475504	44.6140467011052	2.39963866973905e-11	1.04979492200801e-10
ENSGALG00000000390	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4 [Source:NCBI gene;Acc:419531]	22	1337732	1346169	1	protein_coding	-0.00397304781594812	3.14068710668268	0.00050069066263525	0.982147930552011	0.984715058986983
ENSGALG00000000396	METTL2B	methyltransferase like 2B [Source:NCBI gene;Acc:419948]	27	4751454	4764142	1	protein_coding	0.16804850242883	4.79301277367832	2.89506722428389	0.08885106893169	0.13084184416152
ENSGALG00000000399	DUSP28	dual specificity phosphatase 28 [Source:NCBI gene;Acc:430912]	9	2860218	2863677	-1	protein_coding	-2.16492945574525	0.540119969005946	13.8545518170358	0.000197517719963756	0.000475483449235408
ENSGALG00000000401	RBM15	RNA binding motif protein 15 [Source:NCBI gene;Acc:100859595]	26	1400047	1402914	1	protein_coding	-3.43652875195638	-0.591119693340855	6.75640712914775	0.00934116535863596	0.0172067436510853
ENSGALG00000000402	LOXL2	lysyl oxidase like 2 [Source:NCBI gene;Acc:419533]	22	1351044	1386815	1	protein_coding	-1.22819144705414	2.89917939141677	36.4100977783391	1.59872795494969e-09	6.17723159807582e-09
ENSGALG00000000404	COPS2	COP9 signalosome subunit 2 [Source:NCBI gene;Acc:430917]	10	10883287	10904519	-1	protein_coding	-0.0641562691171593	5.82792028348704	0.861875065471216	0.353214499337454	0.418619016687602
ENSGALG00000000409	CHMP7	charged multivesicular body protein 7 [Source:NCBI gene;Acc:419535]	22	1402211	1410592	-1	protein_coding	-0.549148611814887	6.23074996665814	81.3152383551771	1.92437005696482e-19	1.25995835866255e-18
ENSGALG00000000410	TLK2	tousled-like kinase 2 [Source:NCBI gene;Acc:419949]	27	4774952	4815919	1	protein_coding	0.76156511356882	3.14586479515021	17.952503593267	2.26486319309057e-05	6.08853024648126e-05
ENSGALG00000000417	SLC16A4	solute carrier family 16 member 4 [Source:NCBI gene;Acc:419809]	26	1413628	1422663	-1	protein_coding	-0.919084903497949	0.631269915410391	3.3587911573515	0.0668471215004666	0.101323380399724
ENSGALG00000000419	LAMTOR5	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5 [Source:NCBI gene;Acc:419811]	26	1424151	1426410	-1	protein_coding	-0.736437579956927	7.93133952122026	442.768557083169	2.70337156233424e-98	8.97680754012124e-97
ENSGALG00000000424	CMTM3	CKLF like MARVEL transmembrane domain containing 3 [Source:NCBI gene;Acc:414829]	11	11429328	11442605	-1	protein_coding	-0.184833299909168	5.89303972391184	7.45816015196908	0.00631495172465103	0.0120617312817682
ENSGALG00000000430	SPPL2C	signal peptide peptidase like 2C [Source:NCBI gene;Acc:420056]	28	659800	694959	1	protein_coding	-0.862546083263356	3.24054230596045	24.1218377780404	9.04289743608473e-07	2.80047859351355e-06
ENSGALG00000000438	ERMP1	endoplasmic reticulum metallopeptidase 1 [Source:NCBI gene;Acc:426644]	Z	27771796	27786843	-1	protein_coding	1.55724775383731	0.338496081541599	6.70773862040649	0.00959953843610955	0.0176656702628121
ENSGALG00000000442	KCNA2	potassium voltage-gated channel subfamily A member 2 [Source:NCBI gene;Acc:395117]	26	1469306	1471568	-1	protein_coding	-1.18364893301258	-0.661508519364398	0.977164904438657	0.32289974932079	0.387773090735278
ENSGALG00000000451	MEIG1	meiosis/spermiogenesis associated 1 [Source:NCBI gene;Acc:769589]	1	8003807	8010070	1	protein_coding	2.06338947538358	3.54801441017781	145.760578057172	1.46447716117949e-33	1.54708869334859e-32
ENSGALG00000000458	TMPRSS9	transmembrane protease, serine 9 [Source:NCBI gene;Acc:428320]	28	710915	722418	1	protein_coding	3.93085641156662	-0.459871964002567	9.95247148495271	0.00160633600202316	0.00340554781391948
ENSGALG00000000461	MRC2	mannose receptor C type 2 [Source:NCBI gene;Acc:419950]	27	4832151	4845337	1	protein_coding	-0.805040255616457	-0.524004488013401	0.610888184980384	0.434453588678759	0.501179247827986
ENSGALG00000000466	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:NCBI gene;Acc:396460]	23	5273969	5292034	-1	protein_coding	-1.5682022637871	-0.895973395184609	1.35132703744519	0.24504625627113	0.306074027209538
ENSGALG00000000470	LMNA	lamin A/C [Source:NCBI gene;Acc:396222]	28	729616	757180	-1	protein_coding	-0.131430204481809	7.17763426741774	8.95379216189187	0.00276894198519161	0.00562162987338809
ENSGALG00000000476	LRRTM4	leucine rich repeat transmembrane neuronal 4 [Source:NCBI gene;Acc:419539]	22	4410028	4620737	-1	protein_coding	-0.530199510845702	2.30195841031107	4.6861018626281	0.0304075560576067	0.0506140436308271
ENSGALG00000000478	TANC2	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 [Source:NCBI gene;Acc:419951]	27	4897150	5049377	1	protein_coding	-0.293194617186683	0.0165628739961985	0.185062763022479	0.667058004691688	0.722106381255165
ENSGALG00000000498	ACE	angiotensin I converting enzyme [Source:NCBI gene;Acc:419953]	27	5066557	5082805	1	protein_coding	0.212108567780498	2.32034660350772	0.775861890800216	0.378409716080272	0.445206735238175
ENSGALG00000000504	ETV7	ETS variant 7 [Source:NCBI gene;Acc:419813]	26	1539943	1544102	-1	protein_coding	-1.30669432585357	-0.0292422667129771	3.15421273122927	0.0757312127255296	0.113474807474743
ENSGALG00000000505	KCNH6	potassium voltage-gated channel subfamily H member 6 [Source:NCBI gene;Acc:414871]	27	5090432	5118510	1	protein_coding	-0.611458158205953	1.44282197544194	3.14449637918411	0.076183515971578	0.114090661236919
ENSGALG00000000507	CPNE7	copine VII [Source:NCBI gene;Acc:415851]	11	18738378	18745111	1	protein_coding	0.0407014826013856	-0.661507476262953	0.00124345693609129	0.971870278065722	0.978290197557062
ENSGALG00000000510	DCAF7	DDB1 and CUL4 associated factor 7 [Source:NCBI gene;Acc:771554]	27	5119774	5135568	1	protein_coding	-1.24527995066505	4.8157363090616	146.337263204065	1.09549638823722e-33	1.16727028953552e-32
ENSGALG00000000511	KCTD20	potassium channel tetramerization domain containing 20 [Source:NCBI gene;Acc:419814]	26	1544510	1563320	1	protein_coding	-0.807853193011236	5.1302156077752	80.8978613634667	2.37690764091903e-19	1.55077540161779e-18
ENSGALG00000000513	ZNF276	zinc finger protein 276 [Source:NCBI gene;Acc:415853]	11	18771553	18778212	1	protein_coding	0.225450580141975	1.84945507708688	0.608921632221989	0.435194123784404	0.501980447218759
ENSGALG00000000516	FANCA	Fanconi anemia complementation group A [Source:NCBI gene;Acc:415854]	11	18778749	18811706	-1	protein_coding	0.283253872033095	1.283351691957	0.605151818164702	0.436619097854638	0.503373868742479
ENSGALG00000000518	KLHL12	kelch like family member 12 [Source:NCBI gene;Acc:101748977]	26	510087	522316	1	protein_coding	0.202442485974433	3.95615577642713	2.33196252373214	0.126741998955565	0.175445245940978
ENSGALG00000000523	STK38	serine/threonine kinase 38 [Source:NCBI gene;Acc:428260]	26	1565335	1575057	-1	protein_coding	-0.539583437370644	2.08264742551718	4.10002885380525	0.042882481691603	0.0685992799792031
ENSGALG00000000525	MAP3K3	mitogen-activated protein kinase kinase kinase 3 [Source:NCBI gene;Acc:419954]	27	5141419	5180131	1	protein_coding	-0.701186489559884	3.75462749782408	23.4337625458954	1.29289382423428e-06	3.96093387518097e-06
ENSGALG00000000529	LIMD2	LIM domain containing 2 [Source:NCBI gene;Acc:419955]	27	5186052	5190752	-1	protein_coding	-0.561245404039391	6.29197242378776	88.456455803738	5.19663080495647e-21	3.63339541636303e-20
ENSGALG00000000535	ERRFI1	ERBB receptor feedback inhibitor 1 [Source:NCBI gene;Acc:419364]	21	255925	259437	1	protein_coding	0.0763704123660349	4.19398793031077	0.39309402689987	0.530677517138397	0.596529577672547
ENSGALG00000000538	RNF113B	ring finger protein 113B [Source:NCBI gene;Acc:419956]	27	5196842	5203338	1	protein_coding	0.277047073240665	5.15486563889456	10.097010136858	0.00148510076578468	0.00317270230815994
ENSGALG00000000540	GAS8	growth arrest specific 8 [Source:NCBI gene;Acc:415858]	11	18853533	18862046	1	protein_coding	0.204452370030066	3.88076347419943	2.25443463382757	0.13323210620775	0.183697812277517
ENSGALG00000000541	ZC3H11B	zinc finger CCCH-type containing 11B pseudogene [Source:NCBI gene;Acc:421172]	26	481428	495534	1	protein_coding	0.277783061242606	5.77733355942881	15.5821387250199	7.89973146044249e-05	0.000199342569735036
ENSGALG00000000542	ZNF593	zinc finger protein 593 [Source:NCBI gene;Acc:419549]	23	352761	353960	-1	protein_coding	-0.199101493313681	9.19909312726753	72.6824597307911	1.52281526983909e-17	9.22646898784858e-17
ENSGALG00000000545	REN	renin [Source:NCBI gene;Acc:431167]	26	1725734	1730462	-1	protein_coding	0.43444720713773	-0.0765443402039868	0.361514526694856	0.547666306997342	0.611242025662582
ENSGALG00000000549	URAH	5-hydroxyisourate hydrolase [Source:NCBI gene;Acc:415859]	11	18861162	18862768	-1	protein_coding	1.23288342609511	1.89921900671767	17.5362464276423	2.81882355779071e-05	7.49261487619208e-05
ENSGALG00000000550	STRADA	STE20-related kinase adaptor alpha [Source:NCBI gene;Acc:419957]	27	5203843	5214957	-1	protein_coding	0.48753128321625	6.48736354572118	77.1305771146077	1.60020608562203e-18	1.00796673252885e-17
ENSGALG00000000551	C26H6orf89	chromosome 26 C6orf89 homolog [Source:NCBI gene;Acc:419817]	26	1618156	1637334	1	protein_coding	-1.08060535356971	3.95902731945541	61.7309853017108	3.9373542692063e-15	2.12205081834549e-14
ENSGALG00000000557	ETNK2	ethanolamine kinase 2 [Source:NCBI gene;Acc:426690]	26	1717215	1724197	-1	protein_coding	1.34308021819347	0.104029715602837	3.96985260413752	0.0463218269919321	0.0728214866480767
ENSGALG00000000558	SLC1A6	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6 [Source:NCBI gene;Acc:420057]	28	792585	812847	-1	protein_coding	-3.01905683257235	1.26447624661304	42.4666815538966	7.18965914236427e-11	3.04329407532953e-10
ENSGALG00000000564	CCDC47	coiled-coil domain containing 47 [Source:NCBI gene;Acc:419958]	27	5215338	5225187	-1	protein_coding	-0.590155321874162	4.36303833066803	25.7722154266016	3.84179357968447e-07	1.23229849424481e-06
ENSGALG00000000573	PER3	period circadian clock 3 [Source:NCBI gene;Acc:419366]	21	291189	310409	-1	protein_coding	0.141280905442343	2.70306934634436	0.459103006148321	0.498043483029863	0.565041887325262
